,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,2.69,2.41,49.54
1,1,,7.36,7.15,76.29
2,2,,12.31,12.67,100.5
3,3,,18.33,18.54,119.75
4,4,,24.13,24.13,144.23
5,5,,29.51,29.37,147.98
6,6,,35.03,35.17,152.23
7,7,,40.76,41.33,186.2
8,8,,46.57,47.2,190.23
9,9,,52.09,52.65,193.77
10,10,,57.54,57.68,197.03
11,11,,61.71,63.13,200.57
12,12,,66.74,68.44,204.1
13,13,,70.77,73.81,253.43
14,14,,74.38,78.98,256.26
15,15,,78.34,82.45,257.47
16,16,,82.24,85.49,258.17
17,17,,85.28,88.32,258.81
18,18,,87.83,90.23,258.53
19,19,,89.81,91.3,257.4
20,20,,90.73,95.12,258.95
21,21,,91.3,97.1,258.74
22,22,,91.93,97.74,257.18
23,23,,92.5,98.37,255.7
24,24,,92.99,98.58,253.86
25,25,,93.14,98.8,251.88
26,26,,93.35,98.94,249.96
27,27,,93.49,98.94,247.84
28,28,,93.49,99.08,245.86
29,29,,93.63,99.08,207.22
30,30,,93.84,99.22,204.88
31,31,,94.13,99.29,203.33
32,32,,94.27,99.29,201.77
33,33,,94.27,99.43,200.35
34,34,,94.34,99.58,198.94
35,35,,94.48,99.65,197.38
36,36,,94.69,99.65,195.82
37,37,,94.83,99.72,194.27
38,38,,99.29,99.72,192.71
39,39,,99.29,99.72,191.08
40,40,,99.29,99.72,189.6
41,41,,,99.72,187.97
42,42,,99.29,99.72,186.41
43,43,,,99.72,184.78
44,44,,,99.72,183.23
45,45,,,99.72,181.6
46,46,,,99.72,180.11
47,47,,,99.72,178.49
48,48,,,99.72,176.93
49,49,,,99.72,175.3
50,50,,,99.72,173.67
51,51,,,99.72,171.62
52,52,,,99.72,168.65
53,53,,,99.72,154.49
54,54,,,99.72,152.87
55,55,,,99.72,151.66
56,56,,,99.72,150.39
57,57,,,99.72,149.12
58,58,,,100.0,148.05
59,59,,,100.0,146.78
60,60,,,100.0,145.58
61,61,,,100.0,144.3
62,62,,,100.0,143.03
63,63,,,100.0,141.76
64,64,,,100.0,140.48
65,65,,,100.0,139.21
66,66,,,100.0,137.93
67,67,,,100.0,136.59
68,68,,,100.0,135.03
69,69,,,100.0,133.33
70,70,,,100.0,131.92
71,71,,,100.0,130.57
72,72,,,100.0,129.09
73,73,,,100.0,123.57
74,74,,,100.0,122.43
75,75,,,100.0,121.3
76,76,,,100.0,120.24
77,77,,,100.0,119.25
78,78,,,100.0,118.19
79,79,,,100.0,116.99
80,80,,,100.0,115.99
81,81,,,100.0,114.93
82,82,,,100.0,113.8
83,83,,,100.0,112.74
84,84,,,100.0,111.61
85,85,,,100.0,110.47
86,86,,,100.0,109.41
87,87,,,100.0,108.35
88,88,,,100.0,107.29
89,89,,,100.0,106.23
90,90,,,100.0,104.46
91,91,,,100.0,102.69
92,92,,,100.0,101.77
93,93,,,100.0,100.85
94,94,,,100.0,99.93
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
