2019-02-07 16:03:12,526 - INFO - rig - jruby-1.4.0
2019-02-07 16:03:19,922 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 16:03:19,922 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 16:03:19,922 - INFO - quickread - Total Yes: 622 | Total No: 4275
2019-02-07 16:09:47,314 - INFO - fastread - 170, 190
2019-02-07 16:09:47,314 - INFO - fastread - 180, 200
2019-02-07 16:09:47,332 - INFO - fastread - 190, 210
2019-02-07 16:09:47,334 - INFO - fastread - 200, 220
2019-02-07 16:09:47,344 - INFO - fastread - 210, 230
2019-02-07 16:09:47,354 - INFO - fastread - 220, 240
2019-02-07 16:09:47,354 - INFO - fastread - 230, 250
2019-02-07 16:09:47,364 - INFO - fastread - 239, 260
2019-02-07 16:09:47,364 - INFO - fastread - 248, 270
2019-02-07 16:09:47,374 - INFO - fastread - 257, 280
2019-02-07 16:09:47,382 - INFO - fastread - 267, 290
2019-02-07 16:09:47,384 - INFO - fastread - 274, 300
2019-02-07 16:09:47,395 - INFO - fastread - 283, 310
2019-02-07 16:09:47,395 - INFO - fastread - 290, 320
2019-02-07 16:09:47,405 - INFO - fastread - 298, 330
2019-02-07 16:09:47,405 - INFO - fastread - 307, 340
2019-02-07 16:09:47,415 - INFO - fastread - 316, 350
2019-02-07 16:09:47,415 - INFO - fastread - 321, 360
2019-02-07 16:09:47,425 - INFO - fastread - 330, 370
2019-02-07 16:09:47,435 - INFO - fastread - 339, 380
2019-02-07 16:09:47,445 - INFO - fastread - 346, 390
2019-02-07 16:09:47,445 - INFO - fastread - 355, 400
2019-02-07 16:09:47,455 - INFO - fastread - 365, 410
2019-02-07 16:09:47,455 - INFO - fastread - 373, 420
2019-02-07 16:09:47,465 - INFO - fastread - 381, 430
2019-02-07 16:09:47,465 - INFO - fastread - 389, 440
2019-02-07 16:09:47,465 - INFO - fastread - 397, 450
2019-02-07 16:09:47,475 - INFO - fastread - 407, 460
2019-02-07 16:09:47,475 - INFO - fastread - 414, 470
2019-02-07 16:09:47,484 - INFO - fastread - 421, 480
2019-02-07 16:09:47,486 - INFO - fastread - 430, 490
2019-02-07 16:09:47,496 - INFO - fastread - 434, 500
2019-02-07 16:09:47,496 - INFO - fastread - 443, 510
2019-02-07 16:09:47,506 - INFO - fastread - 451, 520
2019-02-07 16:09:47,514 - INFO - fastread - 455, 530
2019-02-07 16:09:47,516 - INFO - fastread - 461, 540
2019-02-07 16:09:47,526 - INFO - fastread - 470, 550
2019-02-07 16:09:47,526 - INFO - fastread - 477, 560
2019-02-07 16:09:47,536 - INFO - fastread - 484, 570
2019-02-07 16:09:47,544 - INFO - fastread - 490, 580
2019-02-07 16:09:47,546 - INFO - fastread - 497, 590
2019-02-07 16:09:47,556 - INFO - fastread - 502, 600
2019-02-07 16:09:47,556 - INFO - fastread - 510, 610
2019-02-07 16:09:47,566 - INFO - fastread - 514, 620
2019-02-07 16:09:47,574 - INFO - fastread - 519, 630
2019-02-07 16:09:47,577 - INFO - fastread - 526, 640
2019-02-07 16:09:47,587 - INFO - fastread - 529, 650
2019-02-07 16:09:47,587 - INFO - fastread - 535, 660
2019-02-07 16:09:47,597 - INFO - fastread - 539, 670
2019-02-07 16:09:47,605 - INFO - fastread - 543, 680
2019-02-07 16:09:47,607 - INFO - fastread - 547, 690
2019-02-07 16:09:47,617 - INFO - fastread - 550, 700
2019-02-07 16:09:47,617 - INFO - fastread - 552, 710
2019-02-07 16:09:47,627 - INFO - fastread - 554, 720
2019-02-07 16:09:47,627 - INFO - fastread - 559, 730
2019-02-07 16:09:47,637 - INFO - fastread - 561, 740
2019-02-07 16:09:47,637 - INFO - fastread - 564, 750
2019-02-07 16:09:47,647 - INFO - fastread - 567, 760
2019-02-07 16:09:47,655 - INFO - fastread - 569, 770
2019-02-07 16:09:47,657 - INFO - fastread - 571, 780
2019-02-07 16:09:47,668 - INFO - fastread - 573, 790
2019-02-07 16:09:47,668 - INFO - fastread - 575, 800
2019-02-07 16:09:47,678 - INFO - fastread - 577, 810
2019-02-07 16:09:47,688 - INFO - fastread - 577, 820
2019-02-07 16:09:47,688 - INFO - fastread - 580, 830
2019-02-07 16:09:47,698 - INFO - fastread - 580, 840
2019-02-07 16:09:47,706 - INFO - fastread - 584, 850
2019-02-07 16:09:47,708 - INFO - fastread - 584, 860
2019-02-07 16:09:47,718 - INFO - fastread - 586, 870
2019-02-07 16:09:47,718 - INFO - fastread - 588, 880
2019-02-07 16:09:47,728 - INFO - fastread - 589, 890
2019-02-07 16:09:47,738 - INFO - fastread - 590, 900
2019-02-07 16:09:47,746 - INFO - fastread - 590, 910
2019-02-07 16:09:47,748 - INFO - fastread - 591, 920
2019-02-07 16:09:47,758 - INFO - fastread - IGNORE jruby-1.4.0 | Total: 4897 | Percent Checked: 0.19 | Total Yes Data: 622 | Percent Yes Checked: 0.95
