2019-02-07 16:03:11,500 - INFO - rig - jfreechart-1.0.19
2019-02-07 16:07:31,449 - INFO - fastread - 135, 430
2019-02-07 16:07:31,451 - INFO - fastread - 135, 440
2019-02-07 16:07:31,451 - INFO - fastread - 136, 450
2019-02-07 16:07:31,461 - INFO - fastread - 136, 460
2019-02-07 16:07:31,461 - INFO - fastread - 136, 470
2019-02-07 16:07:31,472 - INFO - fastread - 136, 480
2019-02-07 16:07:31,472 - INFO - fastread - 136, 490
2019-02-07 16:07:31,480 - INFO - fastread - 136, 500
2019-02-07 16:07:31,482 - INFO - fastread - 136, 510
2019-02-07 16:07:31,490 - INFO - fastread - 136, 520
2019-02-07 16:07:31,492 - INFO - fastread - 136, 530
2019-02-07 16:07:31,492 - INFO - fastread - 136, 540
2019-02-07 16:07:31,502 - INFO - fastread - 136, 550
2019-02-07 16:07:31,502 - INFO - fastread - 136, 560
2019-02-07 16:07:31,512 - INFO - fastread - 136, 570
2019-02-07 16:07:31,520 - INFO - fastread - 136, 580
2019-02-07 16:07:31,522 - INFO - fastread - 136, 590
2019-02-07 16:07:31,522 - INFO - fastread - 136, 600
2019-02-07 16:07:31,532 - INFO - fastread - 136, 610
2019-02-07 16:07:31,540 - INFO - fastread - 136, 620
2019-02-07 16:07:31,542 - INFO - fastread - 136, 630
2019-02-07 16:07:31,542 - INFO - fastread - 136, 640
2019-02-07 16:07:31,552 - INFO - fastread - 136, 650
2019-02-07 16:07:31,552 - INFO - fastread - 136, 660
2019-02-07 16:07:31,562 - INFO - fastread - 137, 670
2019-02-07 16:07:31,562 - INFO - fastread - 137, 680
2019-02-07 16:07:31,571 - INFO - fastread - 140, 690
2019-02-07 16:07:31,573 - INFO - fastread - 147, 700
2019-02-07 16:07:31,581 - INFO - fastread - 147, 710
2019-02-07 16:07:31,583 - INFO - fastread - 147, 720
2019-02-07 16:07:31,591 - INFO - fastread - 147, 730
2019-02-07 16:07:31,593 - INFO - fastread - 147, 740
2019-02-07 16:07:31,593 - INFO - fastread - 147, 750
2019-02-07 16:07:31,603 - INFO - fastread - 147, 760
2019-02-07 16:07:31,603 - INFO - fastread - 147, 770
2019-02-07 16:07:31,611 - INFO - fastread - 147, 780
2019-02-07 16:07:31,613 - INFO - fastread - 147, 790
2019-02-07 16:07:31,613 - INFO - fastread - 147, 800
2019-02-07 16:07:31,623 - INFO - fastread - 147, 810
2019-02-07 16:07:31,623 - INFO - fastread - 147, 820
2019-02-07 16:07:31,631 - INFO - fastread - 147, 830
2019-02-07 16:07:31,633 - INFO - fastread - 147, 840
2019-02-07 16:07:31,633 - INFO - fastread - 147, 850
2019-02-07 16:07:31,643 - INFO - fastread - 147, 860
2019-02-07 16:07:31,643 - INFO - fastread - 147, 870
2019-02-07 16:07:31,651 - INFO - fastread - 147, 880
2019-02-07 16:07:31,653 - INFO - fastread - 147, 890
2019-02-07 16:07:31,661 - INFO - fastread - 147, 900
2019-02-07 16:07:31,663 - INFO - fastread - 147, 910
2019-02-07 16:07:31,672 - INFO - fastread - 147, 920
2019-02-07 16:07:31,674 - INFO - fastread - 147, 930
2019-02-07 16:07:31,682 - INFO - fastread - 147, 940
2019-02-07 16:07:31,684 - INFO - fastread - 147, 950
2019-02-07 16:07:31,694 - INFO - fastread - 147, 960
2019-02-07 16:07:31,694 - INFO - fastread - 147, 970
2019-02-07 16:07:31,704 - INFO - fastread - 147, 980
2019-02-07 16:07:31,704 - INFO - fastread - 147, 990
2019-02-07 16:07:31,714 - INFO - fastread - 147, 1000
2019-02-07 16:07:31,714 - INFO - fastread - 147, 1010
2019-02-07 16:07:31,724 - INFO - fastread - 147, 1020
2019-02-07 16:07:31,724 - INFO - fastread - 147, 1030
2019-02-07 16:07:31,734 - INFO - fastread - 147, 1040
2019-02-07 16:07:31,734 - INFO - fastread - 147, 1050
2019-02-07 16:07:31,744 - INFO - fastread - 147, 1060
2019-02-07 16:07:31,744 - INFO - fastread - 147, 1070
2019-02-07 16:07:31,755 - INFO - fastread - 147, 1080
2019-02-07 16:07:31,763 - INFO - fastread - 147, 1090
2019-02-07 16:07:31,765 - INFO - fastread - 147, 1100
2019-02-07 16:07:31,773 - INFO - fastread - 147, 1110
2019-02-07 16:07:31,775 - INFO - fastread - 147, 1120
2019-02-07 16:07:31,783 - INFO - fastread - 147, 1130
2019-02-07 16:07:31,785 - INFO - fastread - 147, 1140
2019-02-07 16:07:31,793 - INFO - fastread - 147, 1150
2019-02-07 16:07:31,795 - INFO - fastread - 147, 1160
2019-02-07 16:07:31,795 - INFO - fastread - 147, 1170
2019-02-07 16:07:31,805 - INFO - fastread - 147, 1180
2019-02-07 16:07:31,805 - INFO - fastread - 147, 1190
2019-02-07 16:07:31,815 - INFO - fastread - 147, 1200
2019-02-07 16:07:31,815 - INFO - fastread - 147, 1210
2019-02-07 16:07:31,823 - INFO - fastread - 147, 1220
2019-02-07 16:07:31,825 - INFO - fastread - 147, 1230
2019-02-07 16:07:31,825 - INFO - fastread - 147, 1240
2019-02-07 16:07:31,835 - INFO - fastread - 147, 1250
2019-02-07 16:07:31,835 - INFO - fastread - 147, 1260
2019-02-07 16:07:31,845 - INFO - fastread - 147, 1270
2019-02-07 16:07:31,845 - INFO - fastread - 148, 1280
2019-02-07 16:07:31,854 - INFO - fastread - 148, 1290
2019-02-07 16:07:31,856 - INFO - fastread - 148, 1300
2019-02-07 16:07:31,864 - INFO - fastread - 148, 1310
2019-02-07 16:07:31,866 - INFO - fastread - 148, 1320
2019-02-07 16:07:31,876 - INFO - fastread - 148, 1330
2019-02-07 16:07:31,876 - INFO - fastread - 148, 1340
2019-02-07 16:07:31,886 - INFO - fastread - 148, 1350
2019-02-07 16:07:31,886 - INFO - fastread - 148, 1360
2019-02-07 16:07:31,896 - INFO - fastread - 148, 1370
2019-02-07 16:07:31,896 - INFO - fastread - 148, 1380
2019-02-07 16:07:31,906 - INFO - fastread - 148, 1390
2019-02-07 16:07:31,916 - INFO - fastread - 148, 1400
2019-02-07 16:07:31,916 - INFO - fastread - 148, 1410
2019-02-07 16:07:31,926 - INFO - fastread - 148, 1420
2019-02-07 16:07:31,934 - INFO - fastread - 148, 1430
2019-02-07 16:07:31,936 - INFO - fastread - 148, 1440
2019-02-07 16:07:31,946 - INFO - fastread - 148, 1450
2019-02-07 16:07:31,946 - INFO - fastread - 148, 1460
2019-02-07 16:07:31,957 - INFO - fastread - 148, 1470
2019-02-07 16:07:31,957 - INFO - fastread - 148, 1480
2019-02-07 16:07:31,967 - INFO - fastread - 148, 1490
2019-02-07 16:07:31,977 - INFO - fastread - 148, 1500
2019-02-07 16:07:31,977 - INFO - fastread - 148, 1510
2019-02-07 16:07:31,987 - INFO - fastread - 148, 1520
2019-02-07 16:07:31,995 - INFO - fastread - 148, 1530
2019-02-07 16:07:31,997 - INFO - fastread - 148, 1540
2019-02-07 16:07:32,007 - INFO - fastread - 148, 1550
2019-02-07 16:07:32,007 - INFO - fastread - 148, 1560
2019-02-07 16:07:32,018 - INFO - fastread - 148, 1570
2019-02-07 16:07:32,026 - INFO - fastread - 148, 1580
2019-02-07 16:07:32,028 - INFO - fastread - 148, 1590
2019-02-07 16:07:32,036 - INFO - fastread - 148, 1600
2019-02-07 16:07:32,038 - INFO - fastread - 148, 1610
2019-02-07 16:07:32,048 - INFO - fastread - 148, 1620
2019-02-07 16:07:32,048 - INFO - fastread - 148, 1630
2019-02-07 16:07:32,058 - INFO - fastread - 148, 1640
2019-02-07 16:07:32,058 - INFO - fastread - 148, 1650
2019-02-07 16:07:32,068 - INFO - fastread - 148, 1660
2019-02-07 16:07:32,079 - INFO - fastread - 148, 1670
2019-02-07 16:07:32,079 - INFO - fastread - 148, 1680
2019-02-07 16:07:32,089 - INFO - fastread - 148, 1690
2019-02-07 16:07:32,099 - INFO - fastread - 148, 1700
2019-02-07 16:07:32,099 - INFO - fastread - 148, 1710
2019-02-07 16:07:32,109 - INFO - fastread - 148, 1720
2019-02-07 16:07:32,117 - INFO - fastread - 148, 1730
2019-02-07 16:07:32,119 - INFO - fastread - 148, 1740
2019-02-07 16:07:32,130 - INFO - fastread - 148, 1750
2019-02-07 16:07:32,130 - INFO - fastread - 148, 1760
2019-02-07 16:07:32,140 - INFO - fastread - 148, 1770
2019-02-07 16:07:32,148 - INFO - fastread - 148, 1780
2019-02-07 16:07:32,150 - INFO - fastread - 151, 1790
2019-02-07 16:07:32,160 - INFO - fastread - 161, 1800
2019-02-07 16:07:32,168 - INFO - fastread - 171, 1810
2019-02-07 16:07:32,170 - INFO - fastread - 181, 1820
2019-02-07 16:07:32,178 - INFO - fastread - 191, 1830
2019-02-07 16:07:32,180 - INFO - fastread - 201, 1840
2019-02-07 16:07:32,199 - INFO - fastread - IGNORE jfreechart-1.0.19 | Total: 4408 | Percent Checked: 0.42 | Total Yes Data: 209 | Percent Yes Checked: 0.96
