,perc_read,FASTREAD,NBM,KNN,DT,SVM,SVM_LINER
0,0,74.6,9.89,8.02,9.36,5.88,12.03
1,1,75.13,19.79,15.24,24.06,26.47,27.27
2,2,76.47,28.07,20.86,38.5,47.33,47.59
3,3,78.88,32.62,20.86,53.74,66.31,66.31
4,4,79.68,35.29,21.93,69.25,74.87,74.06
5,5,80.75,40.91,23.26,74.06,76.74,75.67
6,6,83.16,43.32,24.33,74.06,77.81,77.01
7,7,83.16,45.45,24.6,74.33,79.95,79.14
8,8,83.69,46.26,25.13,74.87,81.28,81.28
9,9,86.1,50.53,25.94,75.4,83.16,82.89
10,10,87.97,52.41,27.54,75.94,83.96,83.96
11,11,88.5,57.22,28.34,76.2,85.29,86.63
12,12,88.5,59.36,29.14,76.74,86.63,87.43
13,13,88.5,62.83,29.95,77.01,87.17,87.7
14,14,88.77,64.97,30.21,77.01,87.7,88.77
15,15,89.3,66.84,31.02,77.01,88.5,89.3
16,16,92.78,69.25,31.55,77.01,90.37,90.11
17,17,93.58,71.93,32.62,77.01,90.37,90.91
18,18,93.58,72.99,34.49,77.54,90.64,91.44
19,19,93.85,73.26,35.29,78.07,90.64,91.71
20,20,94.39,74.06,36.36,78.07,90.91,92.25
21,21,94.39,75.4,37.7,78.07,91.18,93.58
22,22,94.92,77.81,38.24,78.34,91.44,93.85
23,23,,78.88,39.3,78.88,91.44,93.85
24,24,,78.88,39.84,78.88,91.44,93.85
25,25,,79.95,40.11,78.88,91.44,94.12
26,26,,81.02,40.91,79.68,91.44,94.12
27,27,,81.82,41.98,79.95,91.44,94.39
28,28,,82.62,43.05,79.95,91.44,94.39
29,29,,82.89,43.32,79.95,91.44,94.39
30,30,,83.16,44.12,80.21,91.44,94.65
31,31,,83.42,45.45,80.21,91.44,94.65
32,32,,84.76,47.86,80.21,91.44,94.65
33,33,,85.29,48.4,80.48,91.44,94.65
34,34,,86.1,48.66,80.75,91.44,94.65
35,35,,86.63,50.27,80.75,91.44,94.65
36,36,,86.9,50.53,81.55,91.44,94.65
37,37,,88.24,51.07,82.09,91.44,94.65
38,38,,89.3,51.34,82.09,91.44,94.65
39,39,,89.3,52.67,82.35,91.44,94.65
40,40,,89.57,54.01,82.62,91.44,94.65
41,41,,89.84,54.01,82.89,91.44,94.65
42,42,,90.64,54.55,83.96,91.44,94.65
43,43,,90.64,56.68,83.96,91.44,94.65
44,44,,90.64,57.22,84.22,91.44,94.65
45,45,,90.64,57.22,84.22,91.44,94.65
46,46,,91.71,58.29,84.49,91.44,94.65
47,47,,91.71,59.89,85.03,91.44,94.65
48,48,,92.78,60.16,85.03,91.44,94.65
49,49,,92.78,60.7,85.29,91.44,94.65
50,50,,93.85,60.7,85.29,91.44,94.65
51,51,,94.65,61.23,85.29,91.44,94.65
52,52,,94.92,62.03,85.29,91.44,94.65
53,53,,,62.03,85.29,91.44,94.65
54,54,,,62.3,85.83,91.44,94.65
55,55,,,63.1,85.83,91.44,94.65
56,56,,,63.37,86.1,91.44,94.65
57,57,,,63.64,86.1,91.44,94.65
58,58,,,64.44,86.1,91.71,94.65
59,59,,,66.04,86.63,91.98,94.65
60,60,,,66.84,86.63,91.98,94.65
61,61,,,67.65,86.9,91.98,94.65
62,62,,,67.91,87.17,94.65,94.65
63,63,,,68.18,87.17,94.65,94.65
64,64,,,68.98,87.43,94.65,94.65
65,65,,,69.79,87.43,,94.65
66,66,,,70.59,87.43,,94.65
67,67,,,71.12,87.43,,94.65
68,68,,,72.19,87.7,,94.65
69,69,,,72.73,87.97,,94.65
70,70,,,74.06,88.5,,94.65
71,71,,,75.13,88.77,,94.65
72,72,,,76.47,89.3,,94.65
73,73,,,77.01,89.84,,94.65
74,74,,,78.88,90.37,,95.19
75,75,,,80.21,91.44,,
76,76,,,81.82,91.98,,
77,77,,,82.62,92.51,,
78,78,,,83.69,92.78,,
79,79,,,85.03,93.32,,
80,80,,,85.83,94.12,,
81,81,,,86.9,94.65,,
82,82,,,87.17,,,
83,83,,,88.24,,,
84,84,,,89.3,,,
85,85,,,90.11,,,
86,86,,,90.37,,,
87,87,,,90.91,,,
88,88,,,91.44,,,
89,89,,,92.51,,,
90,90,,,93.32,,,
91,91,,,93.85,,,
92,92,,,94.12,,,
93,93,,,94.12,,,
94,94,,,95.19,,,
95,95,,,,,,
96,96,,,,,,
97,97,,,,,,
98,98,,,,,,
99,99,,,,,,
100,100,,,,,,
