,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,74.33,12.3,11.5,1.07,9.89,8.02,9.36,5.88,12.03,1604.01
1,1,,31.55,31.02,2.41,19.79,15.24,24.06,26.47,27.27,
2,2,,48.13,48.66,2.67,28.07,20.86,38.5,47.33,47.59,
3,3,,67.11,66.84,3.48,32.62,20.86,53.74,66.31,66.31,
4,4,,,,4.28,35.29,21.93,69.25,,74.06,
5,5,,,,5.35,40.91,23.26,74.06,,74.06,
6,6,,,,5.88,43.32,24.33,74.06,,,
7,7,,,,6.68,45.45,24.6,74.33,,,
8,8,,,,7.22,46.26,25.13,74.87,,,
9,9,,,,7.75,50.53,25.94,75.4,,,
10,10,,,,8.82,52.41,27.54,75.94,,,
11,11,,,,9.63,57.22,28.34,76.2,,,
12,12,,,,10.43,59.36,29.14,76.74,,,
13,13,,,,11.5,62.83,29.95,77.01,,,
14,14,,,,12.3,64.97,30.21,77.01,,,
15,15,,,,13.1,66.84,31.02,77.01,,,
16,16,,,,13.64,69.25,31.55,77.01,,,
17,17,,,,14.17,71.93,32.62,77.01,,,
18,18,,,,15.51,72.99,34.49,77.54,,,
19,19,,,,16.04,73.26,35.29,78.07,,,
20,20,,,,17.65,74.06,36.36,78.07,,,
21,21,,,,19.25,75.4,37.7,78.07,,,
22,22,,,,20.32,77.81,38.24,78.34,,,
23,23,,,,20.59,78.88,39.3,78.88,,,
24,24,,,,21.66,78.88,39.84,78.88,,,
25,25,,,,21.93,79.95,40.11,78.88,,,
26,26,,,,22.73,81.02,40.91,79.68,,,
27,27,,,,23.53,81.82,41.98,79.95,,,
28,28,,,,25.13,82.62,43.05,79.95,,,
29,29,,,,25.94,82.89,43.32,79.95,,,
30,30,,,,26.74,83.16,44.12,80.21,,,
31,31,,,,28.34,83.42,45.45,80.21,,,
32,32,,,,29.41,84.76,47.86,80.21,,,
33,33,,,,29.68,85.29,48.4,80.48,,,
34,34,,,,31.28,86.1,48.66,80.75,,,
35,35,,,,32.62,86.63,50.27,80.75,,,
36,36,,,,33.96,86.9,50.53,81.55,,,
37,37,,,,36.1,88.24,51.07,82.09,,,
38,38,,,,36.9,89.3,51.34,82.09,,,
39,39,,,,38.24,89.3,52.67,82.35,,,
40,40,,,,38.77,89.57,54.01,82.62,,,
41,41,,,,39.57,89.84,54.01,82.89,,,
42,42,,,,40.91,90.64,54.55,83.96,,,
43,43,,,,41.18,90.64,56.68,83.96,,,
44,44,,,,43.05,90.64,57.22,84.22,,,
45,45,,,,43.85,90.64,57.22,84.22,,,
46,46,,,,44.65,91.71,58.29,84.49,,,
47,47,,,,45.19,91.71,59.89,85.03,,,
48,48,,,,45.72,92.78,60.16,85.03,,,
49,49,,,,46.79,92.78,60.7,85.29,,,
50,50,,,,47.06,93.85,60.7,85.29,,,
51,51,,,,48.13,94.65,61.23,85.29,,,
52,52,,,,48.93,94.92,62.03,85.29,,,
53,53,,,,50.53,96.79,62.03,85.29,,,
54,54,,,,52.14,97.33,62.3,85.83,,,
55,55,,,,53.21,97.33,63.1,85.83,,,
56,56,,,,53.74,97.86,63.37,86.1,,,
57,57,,,,54.55,97.86,63.64,86.1,,,
58,58,,,,55.61,97.86,64.44,86.1,,,
59,59,,,,56.15,97.86,66.04,86.63,,,
60,60,,,,57.22,97.86,66.84,86.63,,,
61,61,,,,58.02,98.13,67.65,86.9,,,
62,62,,,,58.82,98.93,67.91,87.17,,,
63,63,,,,59.89,99.47,68.18,87.17,,,
64,64,,,,60.96,100.0,68.98,87.43,,,
65,65,,,,61.5,100.0,69.79,87.43,,,
66,66,,,,62.57,100.0,70.59,87.43,,,
67,67,,,,64.97,100.0,71.12,87.43,,,
68,68,,,,65.51,100.0,72.19,87.7,,,
69,69,,,,67.11,100.0,72.73,87.97,,,
70,70,,,,68.72,100.0,74.06,88.5,,,
71,71,,,,70.59,100.0,75.13,88.77,,,
72,72,,,,71.66,100.0,76.47,89.3,,,
73,73,,,,72.46,100.0,77.01,89.84,,,
74,74,,,,72.99,100.0,78.88,90.37,,,
75,75,,,,72.99,100.0,80.21,91.44,,,
76,76,,,,,100.0,81.82,91.98,,,
77,77,,,,,100.0,82.62,92.51,,,
78,78,,,,,100.0,83.69,92.78,,,
79,79,,,,,100.0,85.03,93.32,,,
80,80,,,,,100.0,85.83,94.12,,,
81,81,,,,,100.0,86.9,94.65,,,
82,82,,,,,100.0,87.17,95.45,,,
83,83,,,,,100.0,88.24,95.72,,,
84,84,,,,,100.0,89.3,96.26,,,
85,85,,,,,100.0,90.11,96.26,,,
86,86,,,,,100.0,90.37,96.52,,,
87,87,,,,,100.0,90.91,96.79,,,
88,88,,,,,100.0,91.44,97.06,,,
89,89,,,,,100.0,92.51,97.59,,,
90,90,,,,,100.0,93.32,98.66,,,
91,91,,,,,100.0,93.85,98.66,,,
92,92,,,,,100.0,94.12,98.93,,,
93,93,,,,,100.0,94.12,99.47,,,
94,94,,,,,100.0,95.19,99.47,,,
95,95,,,,,100.0,95.99,99.47,,,
96,96,,,,,100.0,98.13,99.73,,,
97,97,,,,,100.0,98.13,99.73,,,
98,98,,,,,100.0,99.2,100.0,,,
99,99,,,,,100.0,99.73,100.0,,,
100,100,,,,,,,,,,
