,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,73.09,4.03,4.24,0.85,2.54,3.18,4.24,2.12,2.54,1270.97
1,1,,9.96,10.38,1.91,8.47,8.26,9.53,8.05,8.26,
2,2,,16.1,16.53,3.39,13.56,11.02,14.83,14.41,14.41,
3,3,,22.03,22.67,4.03,16.53,13.35,19.7,20.34,20.34,
4,4,,28.18,28.6,4.87,20.13,15.25,25.42,26.69,26.69,
5,5,,34.53,34.96,6.99,23.31,16.31,31.57,32.63,33.05,
6,6,,40.68,40.68,8.05,27.97,16.53,36.86,38.98,39.41,
7,7,,46.82,46.82,8.9,30.3,17.37,42.8,45.34,45.76,
8,8,,52.97,53.18,9.75,33.47,18.64,48.31,51.69,52.12,
9,9,,59.11,59.11,10.17,33.69,20.76,54.45,57.2,58.26,
10,10,,65.25,65.25,11.86,36.02,21.61,60.38,63.35,63.56,
11,11,,71.61,71.4,13.14,39.41,21.82,65.89,69.7,68.64,
12,12,,,,13.98,41.1,22.25,71.61,74.58,73.52,
13,13,,,,14.83,43.01,23.31,74.36,,73.52,
14,14,,,,15.89,44.92,23.94,74.58,,,
15,15,,,,17.37,45.97,24.58,74.79,,,
16,16,,,,18.43,47.03,25.42,75.0,,,
17,17,,,,18.86,47.88,25.85,75.64,,,
18,18,,,,20.13,49.36,27.54,76.27,,,
19,19,,,,21.4,50.85,29.03,76.91,,,
20,20,,,,22.25,51.27,29.87,77.75,,,
21,21,,,,23.09,51.48,30.3,78.18,,,
22,22,,,,23.73,52.54,31.78,78.39,,,
23,23,,,,25.42,53.6,32.84,78.6,,,
24,24,,,,26.91,54.45,33.69,78.6,,,
25,25,,,,28.39,55.72,34.75,78.81,,,
26,26,,,,29.45,57.2,35.38,79.03,,,
27,27,,,,30.3,57.63,36.44,79.24,,,
28,28,,,,31.14,58.69,37.29,79.45,,,
29,29,,,,32.63,60.81,38.14,79.66,,,
30,30,,,,34.11,61.65,38.56,80.51,,,
31,31,,,,34.75,62.29,38.77,80.51,,,
32,32,,,,35.17,62.92,39.62,80.51,,,
33,33,,,,36.02,63.77,40.25,80.72,,,
34,34,,,,36.44,65.25,41.31,80.72,,,
35,35,,,,37.5,66.31,42.37,80.93,,,
36,36,,,,39.19,66.74,43.43,81.36,,,
37,37,,,,40.68,67.8,43.86,81.57,,,
38,38,,,,42.37,68.86,44.92,81.78,,,
39,39,,,,43.01,70.34,45.76,82.2,,,
40,40,,,,44.49,72.67,47.03,82.2,,,
41,41,,,,45.13,73.94,48.52,82.42,,,
42,42,,,,46.19,73.94,49.36,82.63,,,
43,43,,,,46.82,74.58,51.06,83.47,,,
44,44,,,,47.46,75.64,51.91,83.47,,,
45,45,,,,48.52,76.48,52.54,84.32,,,
46,46,,,,49.36,76.69,53.39,84.53,,,
47,47,,,,50.85,76.69,53.39,84.53,,,
48,48,,,,52.12,77.54,55.72,84.53,,,
49,49,,,,52.54,78.6,56.57,84.53,,,
50,50,,,,52.97,79.87,58.05,84.96,,,
51,51,,,,54.03,80.51,58.47,85.59,,,
52,52,,,,55.08,81.14,60.17,86.65,,,
53,53,,,,56.57,81.78,60.59,87.71,,,
54,54,,,,57.2,82.63,61.02,87.92,,,
55,55,,,,58.05,83.26,61.44,88.14,,,
56,56,,,,59.32,84.11,61.86,88.14,,,
57,57,,,,60.38,85.59,62.5,88.35,,,
58,58,,,,60.81,86.02,63.56,88.98,,,
59,59,,,,62.08,86.44,63.98,89.19,,,
60,60,,,,63.77,87.29,64.62,89.19,,,
61,61,,,,64.62,87.29,65.68,89.62,,,
62,62,,,,65.25,87.5,67.58,90.25,,,
63,63,,,,66.31,88.14,68.43,90.68,,,
64,64,,,,67.16,88.77,69.7,90.89,,,
65,65,,,,68.86,89.41,70.34,91.31,,,
66,66,,,,69.92,90.47,71.19,91.31,,,
67,67,,,,70.97,90.68,71.82,92.16,,,
68,68,,,,71.61,91.1,73.52,92.37,,,
69,69,,,,72.03,91.1,74.79,92.37,,,
70,70,,,,72.67,91.31,75.64,92.58,,,
71,71,,,,,92.16,76.69,92.8,,,
72,72,,,,,92.58,77.33,93.43,,,
73,73,,,,,92.8,78.18,93.86,,,
74,74,,,,,93.01,79.45,94.28,,,
75,75,,,,,93.86,80.51,94.49,,,
76,76,,,,,94.28,81.57,94.92,,,
77,77,,,,,94.92,82.2,95.13,,,
78,78,,,,,95.13,82.84,95.34,,,
79,79,,,,,95.55,83.9,95.55,,,
80,80,,,,,95.76,84.53,95.55,,,
81,81,,,,,95.76,85.38,95.97,,,
82,82,,,,,95.76,86.44,96.19,,,
83,83,,,,,96.4,86.86,96.4,,,
84,84,,,,,96.61,87.71,96.61,,,
85,85,,,,,97.03,88.77,97.46,,,
86,86,,,,,97.03,89.19,97.67,,,
87,87,,,,,97.25,90.04,97.67,,,
88,88,,,,,97.25,90.68,97.67,,,
89,89,,,,,97.46,91.1,97.67,,,
90,90,,,,,97.46,91.53,97.88,,,
91,91,,,,,97.88,93.01,97.88,,,
92,92,,,,,97.88,93.86,98.09,,,
93,93,,,,,97.88,95.34,98.31,,,
94,94,,,,,97.88,95.97,99.15,,,
95,95,,,,,98.52,97.03,99.36,,,
96,96,,,,,98.73,97.88,99.58,,,
97,97,,,,,98.73,98.52,99.79,,,
98,98,,,,,98.94,99.15,99.79,,,
99,99,,,,,100.0,100.0,99.79,,,
100,100,,,,,,,,,,
