,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,31.73,16.35,16.35,0.0,10.58,9.62,14.42,14.42,14.42,5768.27
1,1,,,,0.96,26.92,11.54,28.85,,41.35,
2,2,,,,0.96,32.69,13.46,49.04,,,
3,3,,,,2.88,39.42,15.38,50.0,,,
4,4,,,,3.85,42.31,17.31,50.96,,,
5,5,,,,3.85,48.08,19.23,50.96,,,
6,6,,,,4.81,50.0,19.23,51.92,,,
7,7,,,,5.77,52.88,21.15,52.88,,,
8,8,,,,7.69,52.88,23.08,52.88,,,
9,9,,,,7.69,52.88,23.08,52.88,,,
10,10,,,,9.62,52.88,23.08,52.88,,,
11,11,,,,9.62,52.88,23.08,52.88,,,
12,12,,,,10.58,52.88,23.08,52.88,,,
13,13,,,,11.54,52.88,23.08,52.88,,,
14,14,,,,11.54,52.88,24.04,53.85,,,
15,15,,,,13.46,52.88,24.04,53.85,,,
16,16,,,,14.42,53.85,24.04,54.81,,,
17,17,,,,14.42,57.69,24.04,54.81,,,
18,18,,,,14.42,60.58,25.0,54.81,,,
19,19,,,,15.38,63.46,26.92,56.73,,,
20,20,,,,15.38,63.46,27.88,56.73,,,
21,21,,,,16.35,63.46,28.85,57.69,,,
22,22,,,,19.23,66.35,29.81,58.65,,,
23,23,,,,19.23,67.31,29.81,58.65,,,
24,24,,,,20.19,68.27,29.81,58.65,,,
25,25,,,,20.19,70.19,31.73,60.58,,,
26,26,,,,22.12,72.12,33.65,61.54,,,
27,27,,,,23.08,72.12,34.62,62.5,,,
28,28,,,,23.08,75.0,35.58,64.42,,,
29,29,,,,23.08,78.85,35.58,64.42,,,
30,30,,,,23.08,79.81,35.58,64.42,,,
31,31,,,,23.08,81.73,35.58,64.42,,,
32,32,,,,23.08,84.62,36.54,64.42,,,
33,33,,,,25.0,84.62,37.5,65.38,,,
34,34,,,,25.96,84.62,37.5,65.38,,,
35,35,,,,28.85,84.62,38.46,65.38,,,
36,36,,,,28.85,84.62,38.46,65.38,,,
37,37,,,,30.77,84.62,39.42,66.35,,,
38,38,,,,30.77,85.58,39.42,66.35,,,
39,39,,,,,87.5,39.42,66.35,,,
40,40,,,,,87.5,41.35,68.27,,,
41,41,,,,,87.5,42.31,68.27,,,
42,42,,,,,87.5,42.31,68.27,,,
43,43,,,,,88.46,45.19,68.27,,,
44,44,,,,,88.46,47.12,70.19,,,
45,45,,,,,88.46,47.12,70.19,,,
46,46,,,,,88.46,47.12,70.19,,,
47,47,,,,,89.42,47.12,70.19,,,
48,48,,,,,89.42,47.12,70.19,,,
49,49,,,,,89.42,48.08,71.15,,,
50,50,,,,,89.42,49.04,72.12,,,
51,51,,,,,89.42,50.0,72.12,,,
52,52,,,,,89.42,50.96,73.08,,,
53,53,,,,,89.42,50.96,73.08,,,
54,54,,,,,89.42,53.85,74.04,,,
55,55,,,,,89.42,55.77,74.04,,,
56,56,,,,,91.35,58.65,76.92,,,
57,57,,,,,91.35,58.65,76.92,,,
58,58,,,,,92.31,60.58,77.88,,,
59,59,,,,,92.31,62.5,78.85,,,
60,60,,,,,92.31,62.5,78.85,,,
61,61,,,,,93.27,62.5,79.81,,,
62,62,,,,,94.23,63.46,80.77,,,
63,63,,,,,94.23,66.35,80.77,,,
64,64,,,,,94.23,67.31,81.73,,,
65,65,,,,,94.23,68.27,82.69,,,
66,66,,,,,94.23,69.23,82.69,,,
67,67,,,,,94.23,71.15,84.62,,,
68,68,,,,,94.23,71.15,84.62,,,
69,69,,,,,94.23,72.12,84.62,,,
70,70,,,,,94.23,73.08,84.62,,,
71,71,,,,,94.23,74.04,85.58,,,
72,72,,,,,94.23,74.04,85.58,,,
73,73,,,,,94.23,75.96,87.5,,,
74,74,,,,,94.23,75.96,87.5,,,
75,75,,,,,98.08,78.85,88.46,,,
76,76,,,,,98.08,78.85,88.46,,,
77,77,,,,,98.08,78.85,88.46,,,
78,78,,,,,98.08,78.85,88.46,,,
79,79,,,,,99.04,80.77,89.42,,,
80,80,,,,,99.04,80.77,90.38,,,
81,81,,,,,99.04,80.77,90.38,,,
82,82,,,,,99.04,80.77,91.35,,,
83,83,,,,,99.04,81.73,91.35,,,
84,84,,,,,99.04,82.69,93.27,,,
85,85,,,,,99.04,84.62,94.23,,,
86,86,,,,,99.04,84.62,94.23,,,
87,87,,,,,99.04,86.54,94.23,,,
88,88,,,,,99.04,86.54,94.23,,,
89,89,,,,,99.04,86.54,94.23,,,
90,90,,,,,99.04,88.46,96.15,,,
91,91,,,,,99.04,90.38,96.15,,,
92,92,,,,,99.04,90.38,97.12,,,
93,93,,,,,99.04,94.23,99.04,,,
94,94,,,,,99.04,95.19,99.04,,,
95,95,,,,,99.04,96.15,100.0,,,
96,96,,,,,99.04,97.12,100.0,,,
97,97,,,,,100.0,99.04,100.0,,,
98,98,,,,,100.0,99.04,100.0,,,
99,99,,,,,100.0,99.04,100.0,,,
100,100,,,,,,,,,,
