,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,22.9,19.08,19.85,0.76,4.58,1.53,12.98,17.56,17.56,4579.39
1,1,,,,0.76,14.5,3.82,29.01,,26.72,
2,2,,,,0.76,17.56,6.87,44.27,,,
3,3,,,,1.53,17.56,8.4,51.91,,,
4,4,,,,3.82,17.56,9.16,51.91,,,
5,5,,,,5.34,21.37,9.16,51.91,,,
6,6,,,,6.11,22.9,9.92,52.67,,,
7,7,,,,7.63,25.19,9.92,52.67,,,
8,8,,,,9.92,28.24,10.69,52.67,,,
9,9,,,,10.69,29.77,10.69,52.67,,,
10,10,,,,11.45,31.3,12.21,54.2,,,
11,11,,,,12.21,35.88,12.21,54.96,,,
12,12,,,,12.21,40.46,12.21,54.96,,,
13,13,,,,14.5,41.22,12.21,54.96,,,
14,14,,,,15.27,41.22,12.21,55.73,,,
15,15,,,,16.03,41.22,12.98,55.73,,,
16,16,,,,16.03,42.75,12.98,55.73,,,
17,17,,,,17.56,43.51,12.98,55.73,,,
18,18,,,,18.32,43.51,12.98,55.73,,,
19,19,,,,19.85,43.51,14.5,55.73,,,
20,20,,,,21.37,43.51,15.27,55.73,,,
21,21,,,,,46.56,15.27,55.73,,,
22,22,,,,,50.38,16.79,55.73,,,
23,23,,,,,53.44,16.79,55.73,,,
24,24,,,,,53.44,18.32,56.49,,,
25,25,,,,,54.2,19.85,57.25,,,
26,26,,,,,54.96,22.14,58.02,,,
27,27,,,,,55.73,24.43,60.31,,,
28,28,,,,,56.49,25.19,61.07,,,
29,29,,,,,57.25,25.95,61.07,,,
30,30,,,,,58.78,27.48,61.83,,,
31,31,,,,,60.31,28.24,61.83,,,
32,32,,,,,61.07,28.24,61.83,,,
33,33,,,,,63.36,29.77,62.6,,,
34,34,,,,,64.89,32.06,64.12,,,
35,35,,,,,65.65,32.82,64.12,,,
36,36,,,,,66.41,35.88,64.89,,,
37,37,,,,,68.7,36.64,65.65,,,
38,38,,,,,70.99,38.17,66.41,,,
39,39,,,,,71.76,38.93,67.94,,,
40,40,,,,,73.28,39.69,68.7,,,
41,41,,,,,77.1,41.22,69.47,,,
42,42,,,,,77.86,41.22,69.47,,,
43,43,,,,,78.63,41.22,69.47,,,
44,44,,,,,79.39,43.51,69.47,,,
45,45,,,,,79.39,48.09,69.47,,,
46,46,,,,,80.15,48.85,70.23,,,
47,47,,,,,80.15,48.85,70.23,,,
48,48,,,,,82.44,50.38,70.99,,,
49,49,,,,,83.97,53.44,71.76,,,
50,50,,,,,84.73,54.2,72.52,,,
51,51,,,,,84.73,54.2,72.52,,,
52,52,,,,,85.5,54.96,73.28,,,
53,53,,,,,86.26,54.96,73.28,,,
54,54,,,,,87.02,56.49,74.05,,,
55,55,,,,,87.79,56.49,75.57,,,
56,56,,,,,89.31,58.02,76.34,,,
57,57,,,,,89.31,58.02,76.34,,,
58,58,,,,,89.31,58.02,76.34,,,
59,59,,,,,89.31,58.02,77.1,,,
60,60,,,,,89.31,58.02,77.1,,,
61,61,,,,,90.84,59.54,77.86,,,
62,62,,,,,91.6,60.31,79.39,,,
63,63,,,,,91.6,61.83,79.39,,,
64,64,,,,,91.6,61.83,79.39,,,
65,65,,,,,91.6,62.6,80.92,,,
66,66,,,,,91.6,64.89,81.68,,,
67,67,,,,,91.6,67.18,83.21,,,
68,68,,,,,92.37,67.94,83.97,,,
69,69,,,,,92.37,68.7,84.73,,,
70,70,,,,,92.37,70.99,85.5,,,
71,71,,,,,93.13,73.28,87.02,,,
72,72,,,,,94.66,74.81,87.02,,,
73,73,,,,,94.66,74.81,87.02,,,
74,74,,,,,94.66,74.81,87.79,,,
75,75,,,,,94.66,75.57,87.79,,,
76,76,,,,,95.42,76.34,88.55,,,
77,77,,,,,95.42,76.34,88.55,,,
78,78,,,,,95.42,79.39,89.31,,,
79,79,,,,,95.42,80.92,90.84,,,
80,80,,,,,95.42,82.44,92.37,,,
81,81,,,,,95.42,83.97,92.37,,,
82,82,,,,,96.18,86.26,93.89,,,
83,83,,,,,96.95,87.02,93.89,,,
84,84,,,,,96.95,87.79,94.66,,,
85,85,,,,,96.95,88.55,95.42,,,
86,86,,,,,96.95,88.55,95.42,,,
87,87,,,,,96.95,89.31,96.18,,,
88,88,,,,,97.71,89.31,96.95,,,
89,89,,,,,97.71,90.08,96.95,,,
90,90,,,,,97.71,93.89,96.95,,,
91,91,,,,,97.71,93.89,97.71,,,
92,92,,,,,100.0,94.66,97.71,,,
93,93,,,,,100.0,96.95,99.24,,,
94,94,,,,,100.0,96.95,99.24,,,
95,95,,,,,100.0,96.95,99.24,,,
96,96,,,,,100.0,97.71,100.0,,,
97,97,,,,,100.0,97.71,100.0,,,
98,98,,,,,100.0,98.47,100.0,,,
99,99,,,,,100.0,100.0,100.0,,,
100,100,,,,,,,,,,
