,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,20.31,21.09,21.88,0.39,11.33,4.69,12.89,17.58,19.14,2343.36
1,1,,,,0.78,20.7,8.2,34.77,,22.66,
2,2,,,,1.95,23.83,8.2,34.77,,,
3,3,,,,2.34,28.91,8.2,35.55,,,
4,4,,,,3.12,36.33,8.98,35.55,,,
5,5,,,,5.47,40.23,9.77,35.55,,,
6,6,,,,6.25,43.36,10.94,36.72,,,
7,7,,,,7.42,44.14,12.5,37.5,,,
8,8,,,,7.42,44.14,12.89,37.89,,,
9,9,,,,7.81,44.14,14.06,38.67,,,
10,10,,,,8.59,44.14,14.84,39.84,,,
11,11,,,,10.16,44.14,18.36,42.58,,,
12,12,,,,10.94,44.14,19.92,44.14,,,
13,13,,,,11.72,44.14,21.88,45.7,,,
14,14,,,,13.28,44.14,22.27,47.27,,,
15,15,,,,14.45,44.14,23.05,47.27,,,
16,16,,,,16.02,44.14,23.83,48.05,,,
17,17,,,,17.19,44.14,24.61,48.44,,,
18,18,,,,17.58,44.14,26.17,49.61,,,
19,19,,,,17.97,44.14,27.34,50.39,,,
20,20,,,,18.36,44.14,27.73,50.78,,,
21,21,,,,19.92,44.14,28.52,51.17,,,
22,22,,,,,44.14,29.69,52.34,,,
23,23,,,,,44.14,30.86,53.52,,,
24,24,,,,,44.14,32.03,54.69,,,
25,25,,,,,44.53,32.81,55.08,,,
26,26,,,,,44.92,33.2,55.47,,,
27,27,,,,,44.92,33.98,55.86,,,
28,28,,,,,44.92,34.38,56.25,,,
29,29,,,,,44.92,34.77,56.25,,,
30,30,,,,,44.92,35.55,57.42,,,
31,31,,,,,44.92,35.94,57.81,,,
32,32,,,,,44.92,37.11,58.2,,,
33,33,,,,,44.92,37.89,58.59,,,
34,34,,,,,44.92,38.28,58.98,,,
35,35,,,,,44.92,39.84,60.55,,,
36,36,,,,,44.92,41.41,61.33,,,
37,37,,,,,44.92,41.8,62.11,,,
38,38,,,,,44.92,43.36,62.89,,,
39,39,,,,,44.92,43.75,63.28,,,
40,40,,,,,44.92,44.92,63.67,,,
41,41,,,,,44.92,45.7,64.06,,,
42,42,,,,,44.92,46.09,64.45,,,
43,43,,,,,45.31,47.66,65.62,,,
44,44,,,,,48.44,50.0,66.8,,,
45,45,,,,,48.44,51.56,67.97,,,
46,46,,,,,48.44,52.34,69.14,,,
47,47,,,,,48.44,53.52,69.53,,,
48,48,,,,,48.44,54.69,69.92,,,
49,49,,,,,48.44,55.47,70.31,,,
50,50,,,,,48.44,56.64,71.09,,,
51,51,,,,,48.44,57.81,71.88,,,
52,52,,,,,48.44,59.38,73.05,,,
53,53,,,,,48.44,59.77,73.05,,,
54,54,,,,,48.44,60.16,73.44,,,
55,55,,,,,48.44,61.33,74.22,,,
56,56,,,,,48.44,62.11,74.61,,,
57,57,,,,,48.44,63.67,75.78,,,
58,58,,,,,48.44,66.02,77.34,,,
59,59,,,,,48.44,67.19,78.12,,,
60,60,,,,,48.44,67.58,78.52,,,
61,61,,,,,48.44,67.97,78.91,,,
62,62,,,,,50.0,67.97,78.91,,,
63,63,,,,,53.91,68.75,79.3,,,
64,64,,,,,54.69,69.53,80.47,,,
65,65,,,,,54.69,71.09,81.25,,,
66,66,,,,,56.25,71.09,81.64,,,
67,67,,,,,59.38,72.27,82.42,,,
68,68,,,,,62.11,74.22,83.59,,,
69,69,,,,,66.41,75.0,83.98,,,
70,70,,,,,67.58,75.78,83.98,,,
71,71,,,,,68.75,76.95,84.38,,,
72,72,,,,,70.31,77.34,84.77,,,
73,73,,,,,71.48,78.12,85.55,,,
74,74,,,,,71.48,78.12,85.94,,,
75,75,,,,,71.88,78.91,85.94,,,
76,76,,,,,72.66,80.08,87.11,,,
77,77,,,,,73.44,80.47,87.11,,,
78,78,,,,,73.44,82.03,88.28,,,
79,79,,,,,73.44,83.2,89.45,,,
80,80,,,,,73.83,83.98,89.84,,,
81,81,,,,,75.78,85.16,90.62,,,
82,82,,,,,77.34,86.33,91.41,,,
83,83,,,,,80.08,86.72,91.8,,,
84,84,,,,,82.42,87.11,91.8,,,
85,85,,,,,86.72,87.11,92.19,,,
86,86,,,,,88.28,88.28,92.58,,,
87,87,,,,,88.28,90.23,94.53,,,
88,88,,,,,88.28,91.8,95.7,,,
89,89,,,,,89.45,92.58,96.48,,,
90,90,,,,,90.62,92.97,96.48,,,
91,91,,,,,92.58,93.36,96.48,,,
92,92,,,,,92.97,94.14,97.66,,,
93,93,,,,,93.36,95.31,97.66,,,
94,94,,,,,94.92,96.09,98.05,,,
95,95,,,,,95.31,97.66,98.83,,,
96,96,,,,,97.27,98.05,98.83,,,
97,97,,,,,97.66,98.83,99.22,,,
98,98,,,,,98.44,99.22,99.61,,,
99,99,,,,,99.61,100.0,100.0,,,
100,100,,,,,,,,,,
