,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,SVM_LINER_estimate
0,0,87.54,2.69,2.83,0.5,1.7,1.7,2.9,2.34,1.34,424.56
1,1,,8.63,8.63,1.27,6.23,7.86,8.56,6.72,7.08,
2,2,,14.08,13.8,1.84,10.69,12.81,13.66,11.25,11.68,
3,3,,20.38,19.75,2.83,14.65,15.29,19.11,17.13,18.05,
4,4,,25.48,25.41,3.82,17.48,17.34,24.13,22.43,23.57,
5,5,,30.79,30.93,4.81,20.31,18.19,29.65,28.03,28.87,
6,6,,37.08,36.66,6.16,23.35,19.18,35.6,33.69,34.96,
7,7,,42.82,42.25,6.79,26.04,19.96,40.48,39.35,40.84,
8,8,,48.97,48.05,8.0,27.67,20.74,46.28,45.51,46.99,
9,9,,54.35,53.79,9.34,27.67,21.66,52.02,51.24,52.3,
10,10,,59.94,60.37,10.12,30.15,21.94,57.82,57.47,58.24,
11,11,,65.68,65.89,10.97,32.13,22.72,63.06,63.2,63.91,
12,12,,72.12,72.05,12.03,35.53,23.85,68.79,69.99,70.42,
13,13,,77.71,77.78,13.09,37.72,24.35,73.89,75.94,75.73,
14,14,,83.93,83.72,14.01,39.7,25.55,79.48,82.59,81.88,
15,15,,,,14.93,41.19,26.19,84.43,87.4,86.77,
16,16,,,,15.57,43.67,27.25,90.38,,88.18,
17,17,,,,16.63,48.83,28.1,90.8,,,
18,18,,,,17.34,50.74,28.52,90.87,,,
19,19,,,,18.61,52.37,29.44,90.87,,,
20,20,,,,19.53,53.15,30.29,91.01,,,
21,21,,,,20.59,54.71,31.07,91.01,,,
22,22,,,,21.73,56.48,32.13,91.08,,,
23,23,,,,23.07,58.53,33.19,91.15,,,
24,24,,,,24.35,60.08,34.11,91.22,,,
25,25,,,,25.48,61.22,35.1,91.3,,,
26,26,,,,26.4,62.49,35.88,91.44,,,
27,27,,,,26.75,63.84,36.66,91.58,,,
28,28,,,,28.03,64.54,37.44,91.79,,,
29,29,,,,29.09,64.54,38.29,91.93,,,
30,30,,,,30.57,65.39,39.42,92.14,,,
31,31,,,,31.71,66.81,40.41,92.29,,,
32,32,,,,32.84,67.87,40.76,92.36,,,
33,33,,,,33.55,69.0,41.97,92.5,,,
34,34,,,,34.47,70.21,42.96,92.57,,,
35,35,,,,34.96,70.63,43.24,92.92,,,
36,36,,,,35.95,71.62,44.3,92.92,,,
37,37,,,,36.87,72.12,45.08,93.06,,,
38,38,,,,38.0,73.25,45.58,93.14,,,
39,39,,,,38.92,74.81,46.5,93.21,,,
40,40,,,,39.7,75.37,47.35,93.28,,,
41,41,,,,41.12,76.22,47.98,93.42,,,
42,42,,,,41.97,77.42,48.9,93.49,,,
43,43,,,,43.17,78.2,50.11,93.63,,,
44,44,,,,43.81,78.27,51.1,93.63,,,
45,45,,,,44.66,78.91,52.02,93.77,,,
46,46,,,,45.44,79.41,52.72,93.84,,,
47,47,,,,46.57,79.69,53.79,93.84,,,
48,48,,,,48.05,79.76,54.99,93.91,,,
49,49,,,,49.04,80.11,55.48,94.13,,,
50,50,,,,50.18,80.54,56.55,94.27,,,
51,51,,,,51.24,80.82,57.54,94.41,,,
52,52,,,,52.72,81.67,58.24,94.55,,,
53,53,,,,53.43,82.17,59.16,94.83,,,
54,54,,,,54.92,82.94,60.23,94.98,,,
55,55,,,,55.7,83.51,61.22,94.98,,,
56,56,,,,56.9,84.15,61.92,95.19,,,
57,57,,,,58.17,84.5,62.63,95.33,,,
58,58,,,,59.02,85.28,63.48,95.4,,,
59,59,,,,60.16,85.99,64.47,95.47,,,
60,60,,,,61.0,86.34,65.61,95.54,,,
61,61,,,,61.78,87.05,66.67,95.68,,,
62,62,,,,62.85,87.83,67.59,95.68,,,
63,63,,,,63.48,88.46,68.44,95.82,,,
64,64,,,,64.4,89.24,69.0,95.97,,,
65,65,,,,65.61,89.67,70.21,96.11,,,
66,66,,,,66.53,89.67,71.05,96.25,,,
67,67,,,,67.8,90.45,71.97,96.32,,,
68,68,,,,68.79,90.59,72.4,96.39,,,
69,69,,,,69.92,90.73,72.82,96.39,,,
70,70,,,,70.98,91.51,73.74,96.67,,,
71,71,,,,72.19,91.79,74.66,96.74,,,
72,72,,,,72.97,92.71,76.01,96.89,,,
73,73,,,,73.96,92.99,77.07,96.96,,,
74,74,,,,74.66,93.42,77.99,97.1,,,
75,75,,,,75.8,93.7,78.7,97.1,,,
76,76,,,,76.93,93.7,79.62,97.17,,,
77,77,,,,77.85,93.7,80.61,97.38,,,
78,78,,,,79.05,93.7,81.53,97.38,,,
79,79,,,,80.18,94.13,82.24,97.45,,,
80,80,,,,81.46,94.41,83.01,97.52,,,
81,81,,,,82.52,94.41,83.79,97.59,,,
82,82,,,,83.44,94.98,84.29,97.81,,,
83,83,,,,84.22,95.33,85.07,98.02,,,
84,84,,,,85.14,96.46,85.99,98.23,,,
85,85,,,,86.48,96.53,87.26,98.37,,,
86,86,,,,87.33,96.53,88.39,98.37,,,
87,87,,,,,97.38,89.24,98.51,,,
88,88,,,,,97.81,90.02,98.58,,,
89,89,,,,,97.88,90.87,98.58,,,
90,90,,,,,98.44,91.93,98.8,,,
91,91,,,,,98.8,92.78,98.87,,,
92,92,,,,,98.8,93.7,98.87,,,
93,93,,,,,98.8,94.55,99.01,,,
94,94,,,,,99.43,95.47,99.15,,,
95,95,,,,,99.58,96.18,99.36,,,
96,96,,,,,99.58,96.74,99.43,,,
97,97,,,,,100.0,98.09,99.65,,,
98,98,,,,,100.0,99.01,99.79,,,
99,99,,,,,100.0,99.65,99.93,,,
100,100,,,,,,,,,,
