apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
1.96,6.68,158.0,25.0
2.09,8.82,168.0,33.0
2.21,11.5,178.0,43.0
2.33,14.17,188.0,53.0
2.46,15.51,198.0,58.0
2.58,17.91,208.0,67.0
2.71,18.98,218.0,71.0
2.83,21.66,228.0,81.0
2.95,21.66,238.0,81.0
3.08,21.93,248.0,82.0
3.2,23.8,258.0,89.0
3.33,25.94,268.0,97.0
3.45,28.34,278.0,106.0
3.57,31.02,288.0,116.0
3.7,32.35,298.0,121.0
3.82,35.03,308.0,131.0
3.95,37.43,318.0,140.0
4.07,40.11,328.0,150.0
4.2,42.78,338.0,160.0
4.32,45.19,348.0,169.0
4.44,47.59,358.0,178.0
4.57,50.27,368.0,188.0
4.69,52.94,378.0,198.0
4.82,55.61,388.0,208.0
4.94,58.02,398.0,217.0
5.06,59.63,408.0,223.0
5.19,61.5,418.0,230.0
5.31,62.83,428.0,235.0
5.44,64.44,438.0,241.0
5.56,65.78,448.0,246.0
5.68,66.31,458.0,248.0
5.81,67.65,468.0,253.0
5.93,68.45,478.0,256.0
6.06,68.72,488.0,257.0
6.18,69.52,498.0,260.0
6.31,70.05,508.0,262.0
6.43,70.05,518.0,262.0
6.55,70.59,528.0,264.0
6.68,71.93,538.0,269.0
6.8,72.19,548.0,270.0
6.93,72.19,558.0,270.0
7.05,72.19,568.0,270.0
7.17,72.73,578.0,272.0
7.3,72.99,588.0,273.0
7.42,72.99,598.0,273.0
7.55,73.26,608.0,274.0
7.67,74.06,618.0,277.0
7.79,74.06,628.0,277.0
7.92,74.06,638.0,277.0
8.04,75.13,648.0,281.0
8.17,75.4,658.0,282.0
8.29,76.47,668.0,286.0
8.42,76.47,678.0,286.0
8.54,76.74,688.0,287.0
8.66,76.74,698.0,287.0
8.79,77.01,708.0,288.0
8.91,77.01,718.0,288.0
9.04,77.27,728.0,289.0
9.16,77.54,738.0,290.0
9.28,77.54,748.0,290.0
9.41,77.54,758.0,290.0
9.53,78.07,768.0,292.0
9.66,78.07,778.0,292.0
9.78,78.88,788.0,295.0
9.9,79.41,798.0,297.0
10.03,79.41,808.0,297.0
10.15,79.95,818.0,299.0
10.28,81.28,828.0,304.0
10.4,81.28,838.0,304.0
10.53,81.28,848.0,304.0
10.65,81.28,858.0,304.0
10.77,81.28,868.0,304.0
10.9,81.55,878.0,305.0
11.02,81.55,888.0,305.0
11.15,81.55,898.0,305.0
11.27,81.55,908.0,305.0
11.39,81.55,918.0,305.0
11.52,82.09,928.0,307.0
11.64,82.62,938.0,309.0
11.77,83.69,948.0,313.0
11.89,85.29,958.0,319.0
12.01,86.1,968.0,322.0
12.14,87.17,978.0,326.0
12.26,87.7,988.0,328.0
12.39,87.97,998.0,329.0
12.51,87.97,1008.0,329.0
12.63,88.5,1018.0,331.0
12.76,88.5,1028.0,331.0
12.88,88.5,1038.0,331.0
13.01,88.5,1048.0,331.0
13.13,88.5,1058.0,331.0
13.26,88.5,1068.0,331.0
13.38,88.5,1078.0,331.0
13.5,88.5,1088.0,331.0
13.63,88.5,1098.0,331.0
13.75,88.77,1108.0,332.0
13.88,89.04,1118.0,333.0
14.0,89.3,1128.0,334.0
14.12,89.57,1138.0,335.0
14.25,89.57,1148.0,335.0
14.37,89.57,1158.0,335.0
14.5,89.57,1168.0,335.0
14.62,89.57,1178.0,335.0
14.74,89.57,1188.0,335.0
14.87,89.57,1198.0,335.0
14.99,89.57,1208.0,335.0
15.12,89.57,1218.0,335.0
15.24,90.37,1228.0,338.0
15.37,90.37,1238.0,338.0
15.49,90.37,1248.0,338.0
15.61,90.64,1258.0,339.0
15.74,90.91,1268.0,340.0
15.86,91.18,1278.0,341.0
15.99,91.98,1288.0,344.0
16.11,91.98,1298.0,344.0
16.23,91.98,1308.0,344.0
16.36,91.98,1318.0,344.0
16.48,91.98,1328.0,344.0
16.61,91.98,1338.0,344.0
16.73,91.98,1348.0,344.0
16.85,91.98,1358.0,344.0
16.98,91.98,1368.0,344.0
17.1,91.98,1378.0,344.0
17.23,91.98,1388.0,344.0
17.35,91.98,1398.0,344.0
17.48,91.98,1408.0,344.0
17.6,91.98,1418.0,344.0
17.72,92.25,1428.0,345.0
17.85,92.25,1438.0,345.0
17.97,92.25,1448.0,345.0
18.1,92.25,1458.0,345.0
18.22,92.25,1468.0,345.0
18.34,92.25,1478.0,345.0
18.47,92.25,1488.0,345.0
18.59,92.25,1498.0,345.0
18.72,92.51,1508.0,346.0
18.84,92.51,1518.0,346.0
18.96,92.51,1528.0,346.0
19.09,92.51,1538.0,346.0
19.21,93.05,1548.0,348.0
19.34,93.05,1558.0,348.0
19.46,94.65,1568.0,354.0
19.59,94.92,1578.0,355.0


argouml
prec_read,perc_found,total_read,total_found
0.0,0.0,0.0,0.0
0.11,0.07,10.0,1.0
0.21,0.21,20.0,3.0
0.32,0.28,30.0,4.0
0.42,0.35,40.0,5.0
0.53,0.85,50.0,12.0
0.63,1.34,60.0,19.0
0.74,1.84,70.0,26.0
0.85,2.12,80.0,30.0
0.95,2.76,90.0,39.0
1.06,3.4,100.0,48.0
1.16,4.1,110.0,58.0
1.27,4.81,120.0,68.0
1.38,5.52,130.0,78.0
1.48,6.16,140.0,87.0
1.59,6.72,150.0,95.0
1.69,7.29,160.0,103.0
1.8,7.86,170.0,111.0
1.9,8.28,180.0,117.0
2.01,8.56,190.0,121.0
2.12,8.7,200.0,123.0
2.22,9.27,210.0,131.0
2.33,9.7,220.0,137.0
2.43,10.12,230.0,143.0
2.54,10.69,240.0,151.0
2.64,11.39,250.0,161.0
2.75,11.82,260.0,167.0
2.86,12.17,270.0,172.0
2.96,12.81,280.0,181.0
3.07,13.52,290.0,191.0
3.17,14.23,300.0,201.0
3.28,14.37,310.0,203.0
3.39,15.07,320.0,213.0
3.49,15.71,330.0,222.0
3.6,16.07,340.0,227.0
3.7,16.7,350.0,236.0
3.81,17.2,360.0,243.0
3.91,17.55,370.0,248.0
4.02,18.26,380.0,258.0
4.13,18.9,390.0,267.0
4.23,19.53,400.0,276.0
4.34,20.17,410.0,285.0
4.44,20.88,420.0,295.0
4.55,21.51,430.0,304.0
4.66,22.15,440.0,313.0
4.76,22.65,450.0,320.0
4.87,23.21,460.0,328.0
4.97,23.5,470.0,332.0
5.08,24.06,480.0,340.0
5.18,24.63,490.0,348.0
5.29,25.12,500.0,355.0
5.4,25.48,510.0,360.0
5.5,25.9,520.0,366.0
5.61,26.61,530.0,376.0
5.71,27.18,540.0,384.0
5.82,27.88,550.0,394.0
5.92,28.17,560.0,398.0
6.03,28.66,570.0,405.0
6.14,29.23,580.0,413.0
6.24,29.87,590.0,422.0
6.35,30.5,600.0,431.0
6.45,31.07,610.0,439.0
6.56,31.71,620.0,448.0
6.67,32.41,630.0,458.0
6.77,33.05,640.0,467.0
6.88,33.55,650.0,474.0
6.98,33.76,660.0,477.0
7.09,34.32,670.0,485.0
7.19,34.75,680.0,491.0
7.3,35.46,690.0,501.0
7.41,36.09,700.0,510.0
7.51,36.66,710.0,518.0
7.62,37.08,720.0,524.0
7.72,37.65,730.0,532.0
7.83,38.22,740.0,540.0
7.93,38.64,750.0,546.0
8.04,39.21,760.0,554.0
8.15,39.84,770.0,563.0
8.25,40.48,780.0,572.0
8.36,41.05,790.0,580.0
8.46,41.47,800.0,586.0
8.57,41.76,810.0,590.0
8.68,42.32,820.0,598.0
8.78,43.03,830.0,608.0
8.89,43.38,840.0,613.0
8.99,43.95,850.0,621.0
9.1,44.59,860.0,630.0
9.2,44.8,870.0,633.0
9.31,45.36,880.0,641.0
9.42,46.0,890.0,650.0
