apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
1.0,0.0,20.0,0.0
2.0,0.0,40.0,0.0
3.0,0.0,59.0,0.0
4.0,0.0,79.0,0.0
5.0,0.0,99.0,0.0
6.0,4.62,118.0,3.0
7.0,7.69,134.0,5.0
8.0,13.85,154.0,9.0
9.0,33.85,184.0,22.0
10.0,43.08,204.0,28.0
11.0,52.31,224.0,34.0
12.0,60.0,244.0,39.0
13.0,64.62,264.0,42.0
14.0,66.15,284.0,43.0
15.0,69.23,304.0,45.0
16.0,72.31,324.0,47.0
17.0,76.92,344.0,50.0
18.0,78.46,364.0,51.0
19.0,80.0,384.0,52.0
20.0,81.54,404.0,53.0
21.0,81.54,424.0,53.0
22.0,83.08,444.0,54.0
23.0,83.08,464.0,54.0
24.0,86.15,484.0,56.0
25.0,86.15,504.0,56.0
26.0,86.15,524.0,56.0
27.0,86.15,544.0,56.0
28.0,86.15,564.0,56.0
29.0,87.69,584.0,57.0
30.0,87.69,614.0,57.0
31.0,87.69,634.0,57.0
32.0,89.23,654.0,58.0
33.0,90.77,674.0,59.0
34.0,90.77,694.0,59.0
35.0,90.77,714.0,59.0
36.0,90.77,734.0,59.0
37.0,90.77,754.0,59.0
38.0,90.77,774.0,59.0
39.0,90.77,794.0,59.0
40.0,90.77,814.0,59.0
41.0,90.77,834.0,59.0
42.0,90.77,854.0,59.0
43.0,90.77,874.0,59.0
44.0,92.31,894.0,60.0


apache-jmeter-2.10
prec_read,perc_found,total_read,total_found
1.0,0.0,30.0,0.0
2.0,1.07,70.0,2.0
3.0,1.6,108.0,3.0
4.0,1.6,145.0,3.0
5.0,2.14,184.0,4.0
6.0,2.67,224.0,5.0
7.0,17.65,264.0,33.0
8.0,29.95,304.0,56.0
9.0,48.13,344.0,90.0
10.0,63.64,384.0,119.0
11.0,70.05,424.0,131.0
12.0,73.26,464.0,137.0
13.0,76.47,504.0,143.0
14.0,77.54,544.0,145.0
15.0,78.61,594.0,147.0
16.0,82.89,634.0,155.0
17.0,84.49,674.0,158.0
18.0,84.49,714.0,158.0
19.0,84.49,754.0,158.0
20.0,85.03,794.0,159.0
21.0,86.1,834.0,161.0
22.0,86.63,874.0,162.0
23.0,88.77,914.0,166.0
24.0,89.84,954.0,168.0
25.0,89.84,994.0,168.0
26.0,90.91,1034.0,170.0
27.0,92.51,1074.0,173.0
28.0,92.51,1114.0,173.0
29.0,92.51,1154.0,173.0
30.0,92.51,1194.0,173.0
31.0,93.05,1234.0,174.0
32.0,93.05,1274.0,174.0
33.0,93.05,1314.0,174.0
