projectname,huang_prec,huang_recall,huang_f1
apache-ant-1.7.0,0,0,0
apache-jmeter-2.10,0.797,0.766,0.781
argouml,0.804,0.854,0.828
columba-1.4-src,0.770,0.836,0.801
emf-2.4.1,0,0,0
hibernate-distribution-3.3.2.GA,0.832,0.748,0.788
jEdit-4.2,0.702,0.410,0.518
jfreechart-1.0.19,0.606,0.792,0.687
jruby-1.4.0,0.826,0.856,0.841
sql12,0.708,0.602,0.651
