2019-02-07 19:33:33,528 - INFO - rig - argouml
2019-02-07 19:33:46,489 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 19:33:46,490 - INFO - quickread - Total Yes: 1413 | Total No: 8039
2019-02-07 19:53:48,789 - INFO - quickread - 579, 705  2626
2019-02-07 19:53:49,347 - INFO - quickread - 623, 752  2658
2019-02-07 19:53:49,791 - INFO - quickread - 665, 799  2686
2019-02-07 19:53:50,229 - INFO - quickread - 699, 846  2707
2019-02-07 19:53:50,667 - INFO - quickread - 742, 893  2736
2019-02-07 19:53:51,113 - INFO - quickread - 783, 940  2765
2019-02-07 19:53:51,564 - INFO - quickread - 820, 987  2789
2019-02-07 19:53:51,954 - INFO - quickread - 851, 1034  2807
2019-02-07 19:53:52,311 - INFO - quickread - 886, 1081  2829
2019-02-07 19:53:52,646 - INFO - quickread - 927, 1128  2857
2019-02-07 19:53:53,002 - INFO - quickread - 970, 1175  2887
2019-02-07 19:53:53,336 - INFO - quickread - 1010, 1222  2928
2019-02-07 19:53:53,896 - INFO - quickread - 1051, 1269  3589
2019-02-07 19:53:54,365 - INFO - quickread - 1084, 1316  3606
2019-02-07 19:53:54,821 - INFO - quickread - 1111, 1363  3616
2019-02-07 19:53:55,298 - INFO - quickread - 1140, 1410  3629
2019-02-07 19:53:55,815 - INFO - quickread - 1170, 1457  3643
2019-02-07 19:53:56,213 - INFO - quickread - 1193, 1504  3649
2019-02-07 19:53:56,600 - INFO - quickread - 1212, 1551  3652
2019-02-07 19:53:57,048 - INFO - quickread - 1229, 1598  3654
2019-02-07 19:53:57,393 - INFO - quickread - 1250, 1645  3659
2019-02-07 19:53:57,824 - INFO - quickread - 1261, 1692  3654
2019-02-07 19:53:58,272 - INFO - quickread - 1273, 1739  3651
2019-02-07 19:53:58,702 - INFO - quickread - 1281, 1786  3644
2019-02-07 19:53:59,168 - INFO - quickread - 1285, 1833  3632
2019-02-07 19:53:59,596 - INFO - quickread - 1294, 1880  3627
2019-02-07 19:54:00,111 - INFO - quickread - 1301, 1927  3618
2019-02-07 19:54:00,581 - INFO - quickread - 1306, 1974  3608
2019-02-07 19:54:00,990 - INFO - quickread - 1310, 2021  3597
2019-02-07 19:54:01,461 - INFO - quickread - 1314, 2068  3586
2019-02-07 19:54:01,921 - INFO - quickread - 1315, 2115  3572
2019-02-07 19:54:02,473 - INFO - quickread - 1323, 2162  3565
2019-02-07 19:54:02,887 - INFO - quickread - 1370, 2209  3594
2019-02-07 19:54:03,288 - INFO - quickread - 1387, 2256  3595
2019-02-07 19:54:03,709 - INFO - quickread - 1389, 2303  3583
2019-02-07 19:54:04,145 - INFO - quickread - 1391, 2350  3570
2019-02-07 19:54:04,530 - INFO - quickread - 1391, 2397  3554
2019-02-07 19:54:05,078 - INFO - quickread - 1393, 2444  3542
2019-02-07 19:54:05,534 - INFO - quickread - 1395, 2491  3529
2019-02-07 19:54:06,037 - INFO - quickread - 1395, 2538  3514
2019-02-07 19:54:06,539 - INFO - quickread - 1395, 2585  3499
