2019-02-07 19:33:32,714 - INFO - rig - jruby-1.4.0
2019-02-07 19:33:42,005 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 19:33:42,005 - INFO - quickread - Total Yes: 622 | Total No: 4275
2019-02-07 19:41:26,397 - INFO - quickread - 356, 408  1404
2019-02-07 19:41:26,639 - INFO - quickread - 379, 432  1420
2019-02-07 19:41:26,805 - INFO - quickread - 397, 456  1431
2019-02-07 19:41:27,000 - INFO - quickread - 415, 480  1443
2019-02-07 19:41:27,185 - INFO - quickread - 431, 504  1452
2019-02-07 19:41:27,519 - INFO - quickread - 447, 528  1462
2019-02-07 19:41:27,692 - INFO - quickread - 459, 552  1467
2019-02-07 19:41:27,855 - INFO - quickread - 473, 576  1475
2019-02-07 19:41:28,053 - INFO - quickread - 488, 600  1483
2019-02-07 19:41:28,246 - INFO - quickread - 500, 624  1489
2019-02-07 19:41:28,447 - INFO - quickread - 509, 648  1492
2019-02-07 19:41:28,642 - INFO - quickread - 515, 672  1492
2019-02-07 19:41:28,787 - INFO - quickread - 528, 696  1499
2019-02-07 19:41:28,911 - INFO - quickread - 535, 720  1500
2019-02-07 19:41:29,039 - INFO - quickread - 538, 744  1497
2019-02-07 19:41:29,184 - INFO - quickread - 544, 768  1497
2019-02-07 19:41:29,334 - INFO - quickread - 551, 792  1498
2019-02-07 19:41:29,473 - INFO - quickread - 556, 816  1497
2019-02-07 19:41:29,626 - INFO - quickread - 559, 840  1494
2019-02-07 19:41:29,780 - INFO - quickread - 566, 864  1495
2019-02-07 19:41:29,922 - INFO - quickread - 568, 888  1491
2019-02-07 19:41:30,077 - INFO - quickread - 573, 912  1490
2019-02-07 19:41:30,238 - INFO - quickread - 578, 936  1489
2019-02-07 19:41:30,406 - INFO - quickread - 584, 960  1489
2019-02-07 19:41:30,563 - INFO - quickread - 587, 984  1486
2019-02-07 19:41:30,705 - INFO - quickread - 587, 1008  1481
2019-02-07 19:41:30,848 - INFO - quickread - 593, 1032  1481
2019-02-07 19:41:31,096 - INFO - quickread - 595, 1056  1477
2019-02-07 19:41:31,248 - INFO - quickread - 596, 1080  1472
2019-02-07 19:41:31,421 - INFO - quickread - 598, 1104  1468
2019-02-07 19:41:31,581 - INFO - quickread - 598, 1128  1463
2019-02-07 19:41:31,742 - INFO - quickread - 598, 1152  1457
2019-02-07 19:41:31,905 - INFO - quickread - 600, 1176  1453
2019-02-07 19:41:32,059 - INFO - quickread - 601, 1200  1448
2019-02-07 19:41:32,221 - INFO - quickread - 601, 1224  1443
