2019-02-07 17:29:57,576 - INFO - rig - argouml
2019-02-07 17:30:01,205 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:30:01,205 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:30:01,205 - INFO - quickread - Total Yes: 1413 | Total No: 8039
2019-02-07 17:35:17,353 - INFO - fastread - 380, 470  2067
2019-02-07 17:35:17,554 - INFO - fastread - 415, 517  2091
2019-02-07 17:35:17,695 - INFO - fastread - 457, 564  2122
2019-02-07 17:35:17,846 - INFO - fastread - 497, 611  2151
2019-02-07 17:35:17,977 - INFO - fastread - 541, 658  2193
2019-02-07 17:35:18,135 - INFO - fastread - 584, 705  2631
2019-02-07 17:35:18,269 - INFO - fastread - 623, 752  2658
2019-02-07 17:35:18,400 - INFO - fastread - 667, 799  2688
2019-02-07 17:35:18,519 - INFO - fastread - 703, 846  2711
2019-02-07 17:35:18,632 - INFO - fastread - 744, 893  2738
2019-02-07 17:35:18,753 - INFO - fastread - 780, 940  2762
2019-02-07 17:35:18,874 - INFO - fastread - 815, 987  2784
2019-02-07 17:35:18,992 - INFO - fastread - 854, 1034  2810
2019-02-07 17:35:19,093 - INFO - fastread - 892, 1081  2834
2019-02-07 17:35:19,174 - INFO - fastread - 930, 1128  2860
2019-02-07 17:35:19,246 - INFO - fastread - 967, 1175  2884
2019-02-07 17:35:19,337 - INFO - fastread - 1005, 1222  2924
2019-02-07 17:35:19,488 - INFO - fastread - 1043, 1269  3581
2019-02-07 17:35:19,629 - INFO - fastread - 1083, 1316  3605
2019-02-07 17:35:19,770 - INFO - fastread - 1116, 1363  3621
2019-02-07 17:35:19,911 - INFO - fastread - 1146, 1410  3634
2019-02-07 17:35:20,042 - INFO - fastread - 1165, 1457  3638
2019-02-07 17:35:20,146 - INFO - fastread - 1185, 1504  3642
2019-02-07 17:35:20,233 - INFO - fastread - 1208, 1551  3648
2019-02-07 17:35:20,324 - INFO - fastread - 1229, 1598  3654
2019-02-07 17:35:20,434 - INFO - fastread - 1248, 1645  3657
2019-02-07 17:35:20,535 - INFO - fastread - 1261, 1692  3654
2019-02-07 17:35:20,636 - INFO - fastread - 1275, 1739  3653
2019-02-07 17:35:20,726 - INFO - fastread - 1283, 1786  3646
2019-02-07 17:35:20,837 - INFO - fastread - 1290, 1833  3637
2019-02-07 17:35:20,946 - INFO - fastread - 1299, 1880  3631
2019-02-07 17:35:21,097 - INFO - fastread - 1344, 1927  3659
2019-02-07 17:35:21,190 - INFO - fastread - 1369, 1974  3667
2019-02-07 17:35:21,310 - INFO - fastread - 1372, 2021  3656
2019-02-07 17:35:21,421 - INFO - fastread - 1380, 2068  3648
2019-02-07 17:35:21,522 - INFO - fastread - 1381, 2115  3634
2019-02-07 17:35:21,633 - INFO - fastread - 1387, 2162  3626
2019-02-07 17:35:21,764 - INFO - fastread - 1390, 2209  3613
2019-02-07 17:35:21,864 - INFO - fastread - 1392, 2256  3600
2019-02-07 17:35:21,975 - INFO - fastread - 1393, 2303  3587
2019-02-07 17:35:22,095 - INFO - fastread - 1394, 2350  3572
2019-02-07 17:35:22,204 - INFO - fastread - 1396, 2397  3559
2019-02-07 17:35:22,337 - INFO - fastread - 1397, 2444  3546
2019-02-07 17:35:22,448 - INFO - fastread - 1398, 2491  3532
2019-02-07 17:35:22,558 - INFO - fastread - 1398, 2538  3516
2019-02-07 17:35:22,709 - INFO - fastread - 1398, 2585  3502
2019-02-07 17:35:22,840 - INFO - fastread - 1400, 2632  3489
2019-02-07 17:35:22,981 - INFO - fastread - 1400, 2679  3474
2019-02-07 17:35:23,152 - INFO - fastread - 1400, 2726  3459
2019-02-07 17:35:23,263 - INFO - fastread - 1400, 2773  2928
2019-02-07 17:35:23,374 - INFO - fastread - 1402, 2820  2918
2019-02-07 17:35:23,465 - INFO - fastread - 1402, 2867  2895
2019-02-07 17:35:23,576 - INFO - fastread - 1403, 2914  2885
2019-02-07 17:35:23,657 - INFO - fastread - 1403, 2961  2873
2019-02-07 17:35:23,727 - INFO - fastread - 1403, 3008  2863
2019-02-07 17:35:23,811 - INFO - fastread - 1403, 3055  2851
2019-02-07 17:35:23,878 - INFO - fastread - 1403, 3102  2840
2019-02-07 17:35:23,959 - INFO - fastread - 1405, 3149  2831
2019-02-07 17:35:24,049 - INFO - fastread - 1407, 3196  2822
2019-02-07 17:35:24,132 - INFO - fastread - 1407, 3243  2811
2019-02-07 17:35:24,211 - INFO - fastread - 1407, 3290  2799
2019-02-07 17:35:24,291 - INFO - fastread - 1408, 3337  2789
2019-02-07 17:35:24,392 - INFO - fastread - 1408, 3384  2778
2019-02-07 17:35:24,472 - INFO - fastread - 1408, 3431  2767
2019-02-07 17:35:24,553 - INFO - fastread - 1409, 3478  2756
2019-02-07 17:35:24,644 - INFO - fastread - 1409, 3525  2745
2019-02-07 17:35:24,744 - INFO - fastread - 1409, 3572  2735
2019-02-07 17:35:24,825 - INFO - fastread - 1409, 3619  2723
2019-02-07 17:35:24,905 - INFO - fastread - 1409, 3666  2712
2019-02-07 17:35:24,975 - INFO - fastread - 1409, 3713  2700
2019-02-07 17:35:25,066 - INFO - fastread - 1409, 3760  2690
2019-02-07 17:35:25,129 - INFO - fastread - 1409, 3807  2679
2019-02-07 17:35:25,227 - INFO - fastread - 1409, 3854  2667
2019-02-07 17:35:25,297 - INFO - fastread - 1409, 3901  2656
2019-02-07 17:35:25,398 - INFO - fastread - 1409, 3948  2645
2019-02-07 17:35:25,478 - INFO - fastread - 1409, 3995  2634
2019-02-07 17:35:25,548 - INFO - fastread - 1409, 4042  2622
2019-02-07 17:35:25,619 - INFO - fastread - 1409, 4089  2611
2019-02-07 17:35:25,689 - INFO - fastread - 1409, 4136  2601
2019-02-07 17:35:25,800 - INFO - fastread - 1409, 4183  2589
2019-02-07 17:35:25,881 - INFO - fastread - 1409, 4230  2578
2019-02-07 17:35:25,951 - INFO - fastread - 1409, 4277  2566
2019-02-07 17:35:26,070 - INFO - fastread - 1409, 4324  2556
2019-02-07 17:35:26,203 - INFO - fastread - 1409, 4371  2545
2019-02-07 17:35:26,313 - INFO - fastread - 1409, 4418  2533
2019-02-07 17:35:26,424 - INFO - fastread - 1409, 4465  2522
2019-02-07 17:35:26,535 - INFO - fastread - 1409, 4512  2510
2019-02-07 17:35:26,646 - INFO - fastread - 1409, 4559  2500
2019-02-07 17:35:26,776 - INFO - fastread - 1409, 4606  2489
2019-02-07 17:35:26,928 - INFO - fastread - 1409, 4653  2477
2019-02-07 17:35:27,068 - INFO - fastread - 1409, 4700  2466
2019-02-07 17:35:27,250 - INFO - fastread - 1409, 4747  2454
2019-02-07 17:35:27,461 - INFO - fastread - 1409, 4794  2442
2019-02-07 17:35:27,724 - INFO - fastread - 1409, 4841  2425
2019-02-07 17:35:27,845 - INFO - fastread - 1409, 4888  2395
2019-02-07 17:35:27,986 - INFO - fastread - 1409, 4935  2383
2019-02-07 17:35:28,066 - INFO - fastread - 1409, 4982  2196
2019-02-07 17:35:28,129 - INFO - fastread - 1409, 5029  2183
2019-02-07 17:35:28,177 - INFO - fastread - 1409, 5076  2173
2019-02-07 17:35:28,248 - INFO - fastread - 1409, 5123  2160
2019-02-07 17:35:28,336 - INFO - fastread - 1409, 5170  2151
2019-02-07 17:35:28,409 - INFO - fastread - 1409, 5217  2143
2019-02-07 17:35:28,459 - INFO - fastread - 1409, 5264  2133
2019-02-07 17:35:28,570 - INFO - fastread - 1409, 5311  2125
2019-02-07 17:35:28,630 - INFO - fastread - 1409, 5358  2115
2019-02-07 17:35:28,709 - INFO - fastread - 1409, 5405  2107
2019-02-07 17:35:28,800 - INFO - fastread - 1413, 5452  2102
2019-02-07 17:35:28,870 - INFO - fastread - 1413, 5499  2092
2019-02-07 17:35:28,951 - INFO - fastread - 1413, 5546  2084
2019-02-07 17:35:29,013 - INFO - fastread - 1413, 5593  2074
2019-02-07 17:35:29,094 - INFO - fastread - 1413, 5640  2066
2019-02-07 17:35:29,184 - INFO - fastread - 1413, 5687  2057
2019-02-07 17:35:29,273 - INFO - fastread - 1413, 5734  2048
2019-02-07 17:35:29,386 - INFO - fastread - 1413, 5781  2039
2019-02-07 17:35:29,456 - INFO - fastread - 1413, 5828  2030
2019-02-07 17:35:29,545 - INFO - fastread - 1413, 5875  2021
2019-02-07 17:35:29,627 - INFO - fastread - 1413, 5922  2013
2019-02-07 17:35:29,738 - INFO - fastread - 1413, 5969  2003
2019-02-07 17:35:29,849 - INFO - fastread - 1413, 6016  1995
2019-02-07 17:35:29,957 - INFO - fastread - 1413, 6063  1985
2019-02-07 17:35:30,068 - INFO - fastread - 1413, 6110  1976
2019-02-07 17:35:30,179 - INFO - fastread - 1413, 6157  1967
2019-02-07 17:35:30,282 - INFO - fastread - 1413, 6204  1957
2019-02-07 17:35:30,441 - INFO - fastread - 1413, 6251  1949
2019-02-07 17:35:30,553 - INFO - fastread - 1413, 6298  1939
2019-02-07 17:35:30,715 - INFO - fastread - 1413, 6345  1930
2019-02-07 17:35:30,855 - INFO - fastread - 1413, 6392  1919
2019-02-07 17:35:31,015 - INFO - fastread - 1413, 6439  1908
2019-02-07 17:35:31,128 - INFO - fastread - 1413, 6486  1895
2019-02-07 17:35:31,208 - INFO - fastread - 1413, 6533  1884
2019-02-07 17:35:31,319 - INFO - fastread - 1413, 6580  1874
2019-02-07 17:35:31,448 - INFO - fastread - 1413, 6627  1864
2019-02-07 17:35:31,540 - INFO - fastread - 1413, 6674  1855
2019-02-07 17:35:31,642 - INFO - fastread - 1413, 6721  1845
2019-02-07 17:35:31,783 - INFO - fastread - 1413, 6768  1835
2019-02-07 17:35:31,921 - INFO - fastread - 1413, 6815  1824
2019-02-07 17:35:32,095 - INFO - fastread - 1413, 6862  1815
2019-02-07 17:35:32,175 - INFO - fastread - 1413, 6909  1746
2019-02-07 17:35:32,266 - INFO - fastread - 1413, 6956  1738
2019-02-07 17:35:32,326 - INFO - fastread - 1413, 7003  1730
2019-02-07 17:35:32,387 - INFO - fastread - 1413, 7050  1723
2019-02-07 17:35:32,467 - INFO - fastread - 1413, 7097  1714
2019-02-07 17:35:32,538 - INFO - fastread - 1413, 7144  1707
2019-02-07 17:35:32,608 - INFO - fastread - 1413, 7191  1699
2019-02-07 17:35:32,719 - INFO - fastread - 1413, 7238  1691
2019-02-07 17:35:32,819 - INFO - fastread - 1413, 7285  1685
2019-02-07 17:35:32,880 - INFO - fastread - 1413, 7332  1676
2019-02-07 17:35:32,951 - INFO - fastread - 1413, 7379  1670
2019-02-07 17:35:33,031 - INFO - fastread - 1413, 7426  1661
