2019-02-07 17:09:16,046 - INFO - rig - columba-1.4-src
2019-02-07 17:11:24,320 - INFO - fastread - 202, 1600  672
2019-02-07 17:11:24,461 - INFO - fastread - 202, 1632  662
2019-02-07 17:11:24,612 - INFO - fastread - 202, 1664  655
2019-02-07 17:11:24,763 - INFO - fastread - 202, 1696  649
2019-02-07 17:11:24,914 - INFO - fastread - 202, 1728  643
2019-02-07 17:11:25,083 - INFO - fastread - 202, 1760  636
2019-02-07 17:11:25,226 - INFO - fastread - 202, 1792  620
2019-02-07 17:11:25,377 - INFO - fastread - 202, 1824  612
2019-02-07 17:11:25,517 - INFO - fastread - 202, 1856  605
2019-02-07 17:11:25,656 - INFO - fastread - 202, 1888  596
2019-02-07 17:11:25,789 - INFO - fastread - 202, 1920  589
2019-02-07 17:11:25,919 - INFO - fastread - 202, 1952  585
2019-02-07 17:11:26,050 - INFO - fastread - 202, 1984  579
2019-02-07 17:11:26,221 - INFO - fastread - 202, 2016  573
2019-02-07 17:11:26,403 - INFO - fastread - 202, 2048  562
2019-02-07 17:11:26,501 - INFO - fastread - 202, 2080  552
2019-02-07 17:11:26,624 - INFO - fastread - 202, 2112  547
2019-02-07 17:11:26,754 - INFO - fastread - 202, 2144  542
2019-02-07 17:11:26,875 - INFO - fastread - 203, 2176  539
2019-02-07 17:11:26,996 - INFO - fastread - 203, 2208  534
2019-02-07 17:11:27,147 - INFO - fastread - 203, 2240  528
2019-02-07 17:11:27,257 - INFO - fastread - 203, 2272  516
2019-02-07 17:11:27,368 - INFO - fastread - 203, 2304  512
2019-02-07 17:11:27,467 - INFO - fastread - 203, 2336  508
2019-02-07 17:11:27,560 - INFO - fastread - 203, 2368  503
2019-02-07 17:11:27,691 - INFO - fastread - 203, 2400  499
2019-02-07 17:11:27,792 - INFO - fastread - 203, 2432  495
2019-02-07 17:11:27,922 - INFO - fastread - 203, 2464  488
2019-02-07 17:11:28,033 - INFO - fastread - 203, 2496  482
2019-02-07 17:11:28,154 - INFO - fastread - 203, 2528  475
2019-02-07 17:11:28,245 - INFO - fastread - 203, 2560  472
2019-02-07 17:11:28,363 - INFO - fastread - 203, 2592  468
2019-02-07 17:11:28,491 - INFO - fastread - 203, 2624  463
2019-02-07 17:11:28,611 - INFO - fastread - 203, 2656  459
2019-02-07 17:11:28,730 - INFO - fastread - 203, 2688  455
2019-02-07 17:11:28,851 - INFO - fastread - 203, 2720  450
2019-02-07 17:11:28,972 - INFO - fastread - 203, 2752  446
2019-02-07 17:11:29,060 - INFO - fastread - 203, 2784  438
2019-02-07 17:11:29,153 - INFO - fastread - 203, 2816  436
2019-02-07 17:11:29,254 - INFO - fastread - 203, 2848  432
2019-02-07 17:11:29,383 - INFO - fastread - 203, 2880  429
2019-02-07 17:11:29,506 - INFO - fastread - 203, 2912  425
2019-02-07 17:11:29,606 - INFO - fastread - 203, 2944  421
2019-02-07 17:11:29,717 - INFO - fastread - 203, 2976  418
