2019-02-07 14:37:35,096 - INFO - fastread - 171, 432  220
2019-02-07 14:37:37,545 - INFO - fastread - 174, 464  218
2019-02-07 14:37:39,970 - INFO - fastread - 187, 496  229
2019-02-07 14:37:42,423 - INFO - fastread - 190, 528  238
2019-02-07 14:37:44,891 - INFO - fastread - 193, 560  238
2019-02-07 14:37:47,332 - INFO - fastread - 194, 592  238
2019-02-07 14:37:49,811 - INFO - fastread - 194, 624  230
2019-02-07 14:37:52,308 - INFO - fastread - 194, 656  226
2019-02-07 14:37:54,817 - INFO - fastread - 194, 688  233
2019-02-07 14:37:57,299 - INFO - fastread - 194, 720  224
2019-02-07 14:37:59,792 - INFO - fastread - 195, 752  220
2019-02-07 14:38:02,296 - INFO - fastread - 196, 784  224
2019-02-07 14:38:04,848 - INFO - fastread - 196, 816  221
2019-02-07 14:38:07,359 - INFO - fastread - 196, 848  224
2019-02-07 14:38:09,891 - INFO - fastread - 196, 880  225
2019-02-07 14:38:12,422 - INFO - fastread - 196, 912  220
2019-02-07 14:38:18,758 - INFO - fastread - 196, 1007  218
2019-02-07 14:38:25,089 - INFO - fastread - 196, 1096  218
2019-02-07 14:38:31,466 - INFO - fastread - 196, 1189  222
2019-02-07 14:38:34,070 - INFO - fastread - 197, 1221  221
2019-02-07 14:38:34,070 - INFO - fastread - IGNORE columba-1.4-src NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 233
2019-02-07 14:38:34,081 - INFO - fastread - IGNORE columba-1.4-src | Total: 6468 | Percent Checked: 0.19 | Total Yes Data: 204 | Percent Yes Checked: 0.97
2019-02-07 14:38:34,081 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 14:38:34,081 - INFO - quickread - Total Yes: 204 | Total No: 6264
2019-02-07 14:38:34,283 - INFO - quickread - 0, 0  475
2019-02-07 14:38:36,187 - INFO - quickread - 29, 32  475
2019-02-07 14:38:38,635 - INFO - quickread - 54, 64  174
2019-02-07 14:38:41,148 - INFO - quickread - 79, 96  254
2019-02-07 14:38:43,494 - INFO - quickread - 104, 128  256
2019-02-07 14:38:45,769 - INFO - quickread - 130, 160  245
2019-02-07 14:38:47,985 - INFO - quickread - 156, 192  246
2019-02-07 14:38:50,361 - INFO - quickread - 175, 224  286
2019-02-07 14:38:52,722 - INFO - quickread - 185, 256  309
2019-02-07 14:38:54,975 - INFO - quickread - 192, 288  314
2019-02-07 14:38:57,244 - INFO - quickread - 194, 320  314
2019-02-07 14:38:59,511 - INFO - quickread - 196, 352  298
2019-02-07 14:39:01,706 - INFO - quickread - 198, 384  285
2019-02-07 14:39:03,920 - INFO - quickread - 200, 416  279
2019-02-07 14:39:06,073 - INFO - quickread - 200, 448  273
2019-02-07 14:39:08,210 - INFO - quickread - 200, 480  262
2019-02-07 14:39:10,322 - INFO - quickread - 200, 512  254
2019-02-07 14:39:12,451 - INFO - quickread - 200, 544  247
2019-02-07 14:39:14,521 - INFO - quickread - 201, 576  241
2019-02-07 14:39:16,592 - INFO - quickread - 201, 608  240
2019-02-07 14:39:18,640 - INFO - quickread - 201, 640  236
2019-02-07 14:39:20,710 - INFO - quickread - 202, 672  232
2019-02-07 14:39:22,781 - INFO - quickread - 202, 704  232
2019-02-07 14:39:24,806 - INFO - quickread - 202, 736  230
2019-02-07 14:39:26,832 - INFO - quickread - 202, 768  228
2019-02-07 14:39:28,955 - INFO - quickread - 202, 800  226
2019-02-07 14:39:33,038 - INFO - quickread - 202, 859  224
2019-02-07 14:39:35,096 - INFO - quickread - 203, 891  222
2019-02-07 14:39:37,177 - INFO - quickread - 203, 923  223
2019-02-07 14:39:39,281 - INFO - quickread - 203, 955  222
2019-02-07 14:39:41,331 - INFO - quickread - 203, 987  220
2019-02-07 14:39:43,379 - INFO - quickread - 203, 1019  219
2019-02-07 14:39:47,354 - INFO - quickread - 203, 1076  218
2019-02-07 14:39:51,333 - INFO - quickread - 203, 1136  216
2019-02-07 14:39:55,260 - INFO - quickread - 203, 1195  215
2019-02-07 14:39:57,252 - INFO - quickread - 203, 1227  214
2019-02-07 14:39:57,252 - INFO - quickread - IGNORE columba-1.4-src NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 226
2019-02-07 14:39:57,260 - INFO - quickread - IGNORE columba-1.4-src | Total: 6468 | Percent Checked: 0.19 | Total Yes Data: 204 | Percent Yes Checked: 1.0
2019-02-07 14:39:57,260 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 14:39:57,260 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-02-07 14:39:57,343 - INFO - fastread - 6, 10
2019-02-07 14:39:57,351 - INFO - fastread - 13, 20
2019-02-07 14:39:57,353 - INFO - fastread - 23, 30
2019-02-07 14:39:57,353 - INFO - fastread - 33, 40
2019-02-07 14:39:57,361 - INFO - fastread - 43, 50
2019-02-07 14:39:57,363 - INFO - fastread - 53, 60
2019-02-07 14:39:57,363 - INFO - fastread - 63, 70
2019-02-07 14:39:57,371 - INFO - fastread - 73, 80
2019-02-07 14:39:57,373 - INFO - fastread - 77, 90
