2019-02-07 14:46:22,407 - INFO - fastread - 251, 2533  280
2019-02-07 14:46:27,035 - INFO - fastread - 251, 2584  288
2019-02-07 14:46:31,682 - INFO - fastread - 251, 2635  279
2019-02-07 14:46:36,364 - INFO - fastread - 252, 2686  277
2019-02-07 14:46:41,288 - INFO - fastread - 252, 2737  302
2019-02-07 14:46:46,322 - INFO - fastread - 252, 2788  290
2019-02-07 14:46:51,147 - INFO - fastread - 252, 2839  280
2019-02-07 14:46:55,924 - INFO - fastread - 252, 2890  269
2019-02-07 14:47:06,848 - INFO - fastread - 252, 3028  273
2019-02-07 14:47:18,228 - INFO - fastread - 252, 3171  274
2019-02-07 14:47:30,180 - INFO - fastread - 252, 3314  274
2019-02-07 14:47:35,684 - INFO - fastread - 252, 3365  274
2019-02-07 14:47:35,684 - INFO - fastread - IGNORE jEdit-4.2 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 289
2019-02-07 14:47:35,704 - INFO - fastread - IGNORE jEdit-4.2 | Total: 10322 | Percent Checked: 0.33 | Total Yes Data: 256 | Percent Yes Checked: 0.98
2019-02-07 14:47:35,704 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 14:47:35,704 - INFO - quickread - Total Yes: 256 | Total No: 10066
2019-02-07 14:47:35,945 - INFO - quickread - 0, 0  475
2019-02-07 14:57:35,032 - INFO - rig - jEdit-4.2
2019-02-07 14:57:38,097 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 14:57:38,097 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-07 14:57:38,299 - INFO - fastread - 0, 0  475
2019-02-07 14:57:40,437 - INFO - fastread - 33, 35  475
2019-02-07 14:57:44,334 - INFO - fastread - 42, 86  133
2019-02-07 14:57:48,193 - INFO - fastread - 61, 137  136
2019-02-07 14:57:52,075 - INFO - fastread - 92, 188  155
2019-02-07 14:57:55,602 - INFO - fastread - 117, 239  214
2019-02-07 14:57:59,262 - INFO - fastread - 136, 290  239
2019-02-07 14:58:03,056 - INFO - fastread - 147, 341  222
2019-02-07 14:58:06,863 - INFO - fastread - 157, 392  201
2019-02-07 14:58:10,756 - INFO - fastread - 169, 443  220
2019-02-07 14:58:14,506 - INFO - fastread - 184, 494  228
2019-02-07 14:58:18,404 - INFO - fastread - 191, 545  237
2019-02-07 14:58:22,347 - INFO - fastread - 193, 596  241
2019-02-07 14:58:26,283 - INFO - fastread - 201, 647  222
2019-02-07 14:58:30,339 - INFO - fastread - 202, 698  236
2019-02-07 14:58:34,219 - INFO - fastread - 202, 749  228
2019-02-07 14:58:38,066 - INFO - fastread - 202, 800  221
2019-02-07 14:58:41,948 - INFO - fastread - 202, 851  221
2019-02-07 14:58:45,808 - INFO - fastread - 204, 902  219
2019-02-07 14:58:49,710 - INFO - fastread - 205, 953  217
2019-02-07 14:58:53,600 - INFO - fastread - 208, 1004  221
2019-02-07 14:58:57,476 - INFO - fastread - 208, 1055  218
2019-02-07 14:59:01,373 - INFO - fastread - 208, 1106  214
2019-02-07 14:59:05,291 - INFO - fastread - 209, 1157  220
2019-02-07 14:59:09,257 - INFO - fastread - 209, 1208  217
2019-02-07 14:59:13,239 - INFO - fastread - 216, 1259  229
2019-02-07 14:59:17,294 - INFO - fastread - 220, 1310  231
2019-02-07 14:59:21,392 - INFO - fastread - 220, 1361  234
2019-02-07 14:59:25,650 - INFO - fastread - 220, 1412  254
2019-02-07 14:59:30,112 - INFO - fastread - 220, 1463  251
2019-02-07 14:59:34,613 - INFO - fastread - 224, 1514  245
2019-02-07 14:59:39,077 - INFO - fastread - 227, 1565  262
2019-02-07 14:59:43,687 - INFO - fastread - 227, 1616  260
2019-02-07 14:59:48,270 - INFO - fastread - 229, 1667  265
2019-02-07 14:59:52,779 - INFO - fastread - 231, 1718  267
2019-02-07 14:59:57,202 - INFO - fastread - 232, 1769  262
2019-02-07 15:00:01,577 - INFO - fastread - 234, 1820  261
2019-02-07 15:00:05,911 - INFO - fastread - 235, 1871  269
2019-02-07 15:00:10,255 - INFO - fastread - 238, 1922  269
2019-02-07 15:00:14,643 - INFO - fastread - 239, 1973  266
2019-02-07 15:00:19,068 - INFO - fastread - 239, 2024  268
2019-02-07 15:00:23,490 - INFO - fastread - 240, 2075  266
2019-02-07 15:00:27,998 - INFO - fastread - 240, 2126  266
2019-02-07 15:00:32,533 - INFO - fastread - 241, 2177  265
2019-02-07 15:00:37,206 - INFO - fastread - 248, 2228  275
2019-02-07 15:00:42,014 - INFO - fastread - 249, 2279  274
2019-02-07 15:00:46,686 - INFO - fastread - 249, 2330  280
2019-02-07 15:00:51,354 - INFO - fastread - 249, 2381  281
2019-02-07 15:00:56,099 - INFO - fastread - 249, 2432  276
2019-02-07 15:01:01,098 - INFO - fastread - 249, 2483  276
2019-02-07 15:01:11,997 - INFO - fastread - 249, 2626  275
2019-02-07 15:01:22,800 - INFO - fastread - 249, 2769  278
2019-02-07 15:01:27,493 - INFO - fastread - 250, 2820  276
2019-02-07 15:01:32,239 - INFO - fastread - 250, 2871  275
2019-02-07 15:01:37,015 - INFO - fastread - 250, 2922  277
2019-02-07 15:01:41,850 - INFO - fastread - 251, 2973  275
2019-02-07 15:01:47,022 - INFO - fastread - 251, 3024  291
2019-02-07 15:01:51,907 - INFO - fastread - 251, 3075  300
2019-02-07 15:01:56,932 - INFO - fastread - 251, 3126  275
2019-02-07 15:02:01,948 - INFO - fastread - 251, 3177  271
2019-02-07 15:02:13,305 - INFO - fastread - 251, 3316  279
2019-02-07 15:02:24,393 - INFO - fastread - 251, 3456  275
2019-02-07 15:02:29,618 - INFO - fastread - 252, 3507  272
