,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
77,77,91.35,78.85,77.88,30.77,84.62,39.42,64.42,,,
78,78,91.35,78.85,77.88,30.77,85.58,39.42,64.42,,,
79,79,91.35,78.85,77.88,30.77,85.58,39.42,64.42,,,
80,80,91.35,78.85,77.88,32.69,87.5,39.42,64.42,,,
81,81,91.35,78.85,77.88,32.69,87.5,39.42,64.42,,,
82,82,91.35,78.85,77.88,32.69,87.5,41.35,66.35,,,
83,83,91.35,78.85,77.88,32.69,87.5,41.35,66.35,,,
84,84,91.35,78.85,78.85,34.62,87.5,42.31,66.35,,,
85,85,,78.85,78.85,34.62,87.5,42.31,66.35,,,
86,86,,78.85,79.81,37.5,87.5,42.31,66.35,,,
87,87,,78.85,79.81,37.5,87.5,42.31,66.35,,,
88,88,,80.77,80.77,39.42,88.46,45.19,67.31,,,
89,89,,80.77,80.77,39.42,88.46,45.19,67.31,,,
90,90,,80.77,80.77,39.42,88.46,47.12,68.27,,,
91,91,,80.77,80.77,39.42,88.46,47.12,68.27,,,
92,92,,80.77,80.77,42.31,88.46,47.12,68.27,,,
93,93,,80.77,80.77,42.31,88.46,47.12,68.27,,,
94,94,,80.77,80.77,46.15,88.46,47.12,68.27,,,
95,95,,80.77,80.77,46.15,88.46,47.12,68.27,,,
96,96,,80.77,80.77,46.15,89.42,47.12,68.27,,,
97,97,,80.77,80.77,46.15,89.42,47.12,68.27,,,
98,98,,80.77,80.77,47.12,89.42,47.12,68.27,,,
99,99,,80.77,80.77,47.12,89.42,47.12,68.27,,,
100,100,,80.77,80.77,48.08,89.42,48.08,69.23,,,
