,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,46.41,99.52,13.4,10.05,10.53,7.66,12.92,11.48
1,1,47.85,99.52,31.58,19.14,13.4,19.62,29.19,25.84
2,2,47.85,99.52,43.54,20.1,17.22,37.32,40.19,37.32
3,3,50.24,99.52,50.24,22.49,19.14,47.85,49.28,50.24
4,4,50.24,100.0,53.11,25.36,21.05,47.85,56.46,55.02
5,5,55.5,100.0,54.07,27.27,21.53,47.85,58.85,56.94
6,6,55.5,100.0,55.02,28.23,21.53,48.33,58.85,58.85
7,7,55.98,100.0,55.5,30.14,22.01,48.8,60.29,59.33
8,8,56.94,100.0,55.98,33.49,22.97,49.76,60.29,61.24
9,9,56.94,100.0,57.89,33.97,22.97,49.76,60.29,61.72
10,10,57.89,100.0,58.85,33.97,23.44,50.24,60.77,62.68
11,11,58.85,100.0,58.85,34.93,23.92,50.72,60.77,62.68
12,12,60.29,100.0,60.29,36.84,25.36,51.2,60.77,63.16
13,13,61.24,100.0,60.77,37.8,25.36,51.2,60.77,65.07
14,14,62.68,100.0,61.24,38.28,25.36,51.2,60.77,65.55
15,15,63.16,100.0,61.72,39.71,26.32,51.67,60.77,65.55
16,16,68.9,100.0,62.2,58.85,27.27,51.67,60.77,66.03
17,17,68.9,100.0,62.68,68.9,28.71,52.63,60.77,66.03
18,18,68.9,100.0,63.16,68.9,29.67,53.11,61.24,66.03
19,19,69.38,100.0,63.16,68.9,30.14,53.11,61.72,66.03
20,20,90.43,100.0,63.16,68.9,30.62,54.07,61.72,66.03
21,21,98.09,100.0,63.64,68.9,31.1,55.5,61.72,66.03
22,22,98.56,100.0,63.64,68.9,33.01,55.98,61.72,66.03
23,23,,100.0,63.64,68.9,33.01,55.98,61.72,66.03
24,24,,100.0,65.55,68.9,33.01,55.98,61.72,66.03
25,25,,100.0,65.55,68.9,33.49,55.98,62.2,66.03
26,26,,100.0,65.55,68.9,35.41,57.42,62.2,66.03
27,27,,100.0,66.51,68.9,35.89,57.42,62.2,66.03
28,28,,100.0,66.51,68.9,37.32,57.89,62.2,66.03
29,29,,100.0,66.51,69.38,37.32,58.37,62.2,66.03
30,30,,100.0,66.51,69.86,37.8,58.85,62.2,66.03
31,31,,100.0,66.99,70.81,37.8,58.85,64.11,66.03
32,32,,100.0,66.99,70.81,37.8,58.85,64.11,66.03
33,33,,100.0,66.99,70.81,38.76,59.81,73.21,66.03
34,34,,100.0,67.46,73.21,40.19,61.24,93.3,66.03
35,35,,100.0,67.46,73.21,42.58,62.2,94.26,66.03
36,36,,100.0,67.94,75.12,43.06,62.2,94.26,66.03
37,37,,100.0,67.94,75.6,44.5,63.64,94.26,66.03
38,38,,100.0,68.42,79.43,45.93,64.11,94.26,66.03
39,39,,100.0,70.33,81.82,46.41,66.03,94.26,66.03
40,40,,100.0,71.29,83.25,47.37,66.03,94.26,66.03
41,41,,100.0,71.77,84.21,47.37,66.51,94.26,66.03
42,42,,100.0,72.25,84.69,49.28,66.51,94.26,66.03
43,43,,100.0,72.73,84.69,49.28,66.51,94.26,66.03
44,44,,100.0,72.73,85.17,49.28,66.51,94.26,66.03
45,45,,100.0,73.68,85.65,49.76,66.99,94.26,66.03
46,46,,100.0,73.68,86.12,51.67,67.94,94.26,66.03
47,47,,100.0,73.68,87.56,52.15,68.42,94.26,66.99
48,48,,100.0,74.64,88.52,53.59,70.33,94.26,70.81
49,49,,100.0,75.12,88.52,55.5,70.33,94.26,70.81
50,50,,100.0,75.6,88.52,55.5,70.81,94.26,70.81
51,51,,100.0,75.6,88.52,56.94,70.81,94.26,70.81
52,52,,100.0,75.6,89.47,56.94,70.81,94.26,70.81
