,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,52.8,97.2,13.29,1.05,0.7,7.69,7.69,7.69
1,1,54.55,98.25,36.71,3.15,1.75,22.03,30.77,30.77
2,2,55.24,98.25,54.55,3.85,2.8,36.36,46.5,51.75
3,3,58.39,98.25,59.44,4.2,3.5,53.15,47.2,58.74
4,4,59.09,98.25,63.29,6.64,7.34,55.94,47.55,65.73
5,5,68.53,98.25,65.38,9.09,10.84,56.99,48.6,68.88
6,6,69.93,98.25,66.78,10.49,12.24,56.99,48.6,71.33
7,7,72.38,98.25,68.53,13.29,13.29,58.04,48.6,72.73
8,8,76.57,98.25,69.58,13.99,15.03,58.39,48.6,80.07
9,9,77.27,98.25,70.63,15.73,16.08,59.79,48.95,81.12
10,10,79.37,98.25,72.03,17.48,16.43,60.49,49.65,84.97
11,11,79.72,98.25,72.73,19.58,17.83,60.84,49.65,87.76
12,12,81.82,98.25,73.43,20.28,19.93,61.54,49.65,88.81
13,13,83.22,98.6,74.83,21.33,20.63,61.54,49.65,88.81
14,14,84.27,98.6,74.83,22.38,21.33,61.89,50.0,89.51
15,15,85.31,98.6,77.27,26.22,21.68,62.59,50.0,89.86
16,16,85.66,98.6,77.62,29.02,22.73,62.94,50.35,91.96
17,17,86.01,98.6,78.32,31.12,23.78,62.94,51.75,92.31
18,18,86.01,98.6,78.32,32.52,25.52,62.94,52.1,93.36
19,19,86.71,98.6,78.67,34.62,27.27,63.64,52.45,93.36
20,20,87.06,98.95,79.72,35.66,28.32,64.34,52.8,93.36
21,21,87.41,98.95,80.42,38.11,30.42,64.69,52.8,93.36
22,22,87.41,98.95,80.42,38.81,31.82,65.03,52.8,93.71
23,23,88.46,98.95,80.42,39.51,31.82,65.38,53.85,94.41
24,24,89.86,99.3,80.42,39.86,33.22,66.08,56.99,94.76
25,25,90.91,99.3,80.42,39.86,34.62,66.08,60.84,94.76
26,26,91.26,99.3,80.77,39.86,35.66,66.78,66.08,95.45
27,27,94.41,99.3,80.77,39.86,35.66,66.78,70.28,95.45
28,28,94.76,99.65,80.77,41.96,35.66,67.13,71.68,95.45
29,29,95.1,99.65,80.77,42.31,36.36,67.13,73.08,95.8
30,30,95.8,99.65,80.77,44.41,37.06,67.13,75.17,96.15
31,31,95.8,99.65,81.47,47.2,37.76,67.83,81.82,96.5
32,32,95.8,99.65,81.82,48.95,37.76,68.18,84.97,96.5
33,33,95.8,99.65,82.17,49.3,38.81,68.18,86.36,96.5
34,34,96.15,99.65,82.17,50.0,38.81,68.53,86.36,96.85
35,35,96.15,99.65,82.52,52.1,39.16,69.58,86.71,96.85
36,36,96.15,99.65,82.52,52.8,40.21,69.58,87.41,97.55
37,37,96.5,99.65,82.52,53.5,41.61,69.58,88.46,97.55
38,38,96.85,99.65,82.52,54.2,41.96,69.93,89.16,97.55
39,39,96.85,99.65,82.52,55.24,42.31,71.33,90.21,97.55
40,40,96.85,99.65,83.22,58.04,43.01,71.33,90.91,97.55
41,41,96.85,99.65,83.22,59.44,44.41,72.03,90.91,97.55
42,42,96.85,99.65,83.22,59.79,45.45,72.38,90.91,97.55
43,43,,99.65,83.22,59.79,46.15,72.38,91.61,97.55
44,44,,100.0,83.22,60.49,46.5,73.08,91.61,97.55
45,45,,100.0,83.22,61.54,47.9,73.78,92.31,97.55
46,46,,100.0,83.92,62.59,48.6,74.48,93.01,97.55
47,47,,100.0,84.27,63.64,48.95,74.48,93.36,97.55
48,48,,100.0,84.27,64.34,49.65,74.48,93.71,97.55
49,49,,100.0,84.62,66.43,51.4,75.87,93.71,98.6
50,50,,100.0,84.62,67.13,53.15,76.22,94.06,98.6
