,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
0,0,20.31,98.44,21.88,11.33,4.69,15.62,17.58,19.14
1,1,26.56,98.44,36.72,20.7,8.2,31.64,41.02,42.97
2,2,42.19,98.83,41.02,23.83,8.2,32.03,60.55,55.47
3,3,61.72,98.83,51.17,28.91,8.2,32.81,69.53,68.75
4,4,71.09,98.83,58.98,36.33,8.98,32.81,71.88,74.22
5,5,75.39,98.83,58.98,40.23,9.77,33.2,74.22,76.56
6,6,75.39,98.83,59.38,43.36,10.94,34.38,75.78,78.52
7,7,80.08,98.83,59.38,44.14,12.5,34.77,77.73,80.86
8,8,80.08,99.61,60.16,44.14,12.89,35.16,77.73,83.98
9,9,80.47,99.61,60.94,44.14,14.06,35.94,77.73,86.33
10,10,81.64,99.61,61.33,44.14,14.84,37.11,80.47,86.33
11,11,83.59,99.61,61.33,44.14,18.36,39.45,82.42,87.5
12,12,86.33,99.61,62.5,44.14,19.92,41.8,83.59,88.28
13,13,87.89,100.0,65.23,44.14,21.88,42.58,85.55,88.28
14,14,89.06,100.0,67.19,44.14,22.27,44.14,85.94,88.67
15,15,92.58,100.0,67.19,44.14,23.05,44.14,85.94,88.67
16,16,93.36,100.0,67.58,44.14,23.83,44.92,85.94,88.67
17,17,94.92,100.0,67.97,44.14,24.61,44.92,85.94,88.67
18,18,94.92,100.0,68.36,44.14,26.17,46.48,85.94,88.67
19,19,95.31,100.0,68.75,44.14,27.34,47.27,85.94,88.67
20,20,97.27,100.0,70.31,44.14,27.73,48.05,85.94,88.67
21,21,97.27,100.0,70.31,44.14,28.52,48.83,85.94,88.67
22,22,97.27,100.0,70.31,44.14,29.69,49.22,85.94,88.67
23,23,97.66,100.0,70.31,44.14,30.86,50.0,85.94,88.67
24,24,98.05,100.0,70.31,44.14,32.03,51.17,85.94,88.67
25,25,98.44,100.0,70.7,44.53,32.81,51.95,85.94,88.67
26,26,98.44,100.0,71.48,44.92,33.2,52.34,85.94,88.67
27,27,98.44,100.0,71.88,44.92,33.98,53.12,85.94,88.67
28,28,98.44,100.0,72.27,44.92,34.38,53.12,85.94,88.67
29,29,98.44,100.0,72.27,44.92,34.77,53.52,85.94,88.67
30,30,98.44,100.0,72.66,44.92,35.55,54.3,85.94,88.67
