,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
82,82,,76.92,77.88,32.69,87.5,41.35,68.27,,,
83,83,,76.92,77.88,32.69,87.5,41.35,68.27,,,
84,84,,77.88,77.88,34.62,87.5,42.31,68.27,,,
85,85,,77.88,77.88,34.62,87.5,42.31,68.27,,,
86,86,,78.85,78.85,37.5,87.5,42.31,68.27,,,
87,87,,78.85,78.85,37.5,87.5,42.31,68.27,,,
88,88,,79.81,79.81,39.42,88.46,45.19,68.27,,,
89,89,,79.81,79.81,39.42,88.46,45.19,68.27,,,
90,90,,79.81,79.81,39.42,88.46,47.12,70.19,,,
91,91,,79.81,79.81,39.42,88.46,47.12,70.19,,,
92,92,,79.81,79.81,42.31,88.46,47.12,70.19,,,
93,93,,79.81,79.81,42.31,88.46,47.12,70.19,,,
94,94,,79.81,79.81,46.15,88.46,47.12,70.19,,,
95,95,,79.81,79.81,46.15,88.46,47.12,70.19,,,
96,96,,79.81,79.81,46.15,89.42,47.12,70.19,,,
97,97,,79.81,79.81,46.15,89.42,47.12,70.19,,,
98,98,,79.81,79.81,47.12,89.42,47.12,70.19,,,
99,99,,79.81,79.81,47.12,89.42,47.12,70.19,,,
100,100,,79.81,79.81,48.08,89.42,48.08,71.15,,,
