,perc_read,FASTREAD,NBM,SVM,DT
0,0,0.98,19.61,17.65,17.65
1,1,1.96,37.25,46.08,45.1
2,2,4.9,39.22,79.41,74.51
3,3,31.37,40.2,87.25,74.51
4,4,60.78,40.2,87.25,75.49
5,5,77.45,40.2,89.22,75.49
6,6,87.25,40.2,90.2,75.49
7,7,90.2,40.2,90.2,75.49
8,8,91.18,41.18,90.2,75.49
9,9,93.14,43.14,90.2,75.49
10,10,93.14,46.08,90.2,76.47
11,11,93.14,46.08,91.18,77.45
12,12,93.14,48.04,91.18,77.45
13,13,93.14,49.02,91.18,77.45
14,14,93.14,49.02,92.16,77.45
15,15,93.14,49.02,93.14,77.45
16,16,93.14,50.0,93.14,78.43
17,17,93.14,50.98,93.14,78.43
18,18,93.14,51.96,94.12,80.39
19,19,93.14,52.94,94.12,81.37
20,20,93.14,54.9,94.12,82.35
21,21,93.14,54.9,94.12,82.35
22,22,93.14,54.9,94.12,82.35
23,23,93.14,55.88,94.12,82.35
24,24,94.12,58.82,94.12,83.33
25,25,,60.78,94.12,84.31
26,26,,60.78,94.12,84.31
27,27,,60.78,94.12,84.31
28,28,,60.78,94.12,84.31
29,29,,60.78,94.12,84.31
30,30,,61.76,94.12,84.31
31,31,,61.76,94.12,85.29
32,32,,61.76,94.12,85.29
33,33,,61.76,94.12,85.29
34,34,,62.75,94.12,86.27
35,35,,63.73,94.12,86.27
36,36,,63.73,94.12,86.27
37,37,,63.73,94.12,86.27
38,38,,64.71,94.12,87.25
39,39,,64.71,,87.25
40,40,,66.67,,88.24
41,41,,66.67,,88.24
42,42,,66.67,,88.24
43,43,,66.67,,88.24
44,44,,67.65,,88.24
45,45,,68.63,,88.24
46,46,,68.63,,88.24
47,47,,68.63,,88.24
48,48,,68.63,,88.24
49,49,,68.63,,88.24
50,50,,68.63,,88.24
51,51,,68.63,,88.24
52,52,,68.63,,88.24
53,53,,70.59,,89.22
54,54,,71.57,,90.2
55,55,,71.57,,91.18
56,56,,72.55,,92.16
57,57,,72.55,,92.16
58,58,,72.55,,92.16
59,59,,73.53,,92.16
60,60,,73.53,,92.16
61,61,,74.51,,93.14
62,62,,74.51,,93.14
63,63,,74.51,,93.14
64,64,,75.49,,94.12
65,65,,76.47,,95.1
66,66,,76.47,,
67,67,,77.45,,
68,68,,77.45,,
69,69,,78.43,,
70,70,,81.37,,
71,71,,81.37,,
72,72,,81.37,,
73,73,,81.37,,
74,74,,82.35,,
75,75,,82.35,,
76,76,,83.33,,
77,77,,84.31,,
78,78,,85.29,,
79,79,,86.27,,
80,80,,87.25,,
81,81,,87.25,,
82,82,,89.22,,
83,83,,89.22,,
84,84,,90.2,,
85,85,,90.2,,
86,86,,93.14,,
87,87,,94.12,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
