,perc_read,FASTREAD,NBM,SVM,DT
0,0,0.71,3.97,3.4,3.82
1,1,6.09,11.05,8.5,9.63
2,2,9.77,15.58,12.61,14.45
3,3,15.01,20.68,17.99,20.96
4,4,20.96,24.93,23.51,26.77
5,5,25.21,28.47,27.9,31.3
6,6,30.74,33.0,33.85,37.25
7,7,35.13,35.98,40.37,43.48
8,8,40.93,36.26,46.32,49.86
9,9,44.62,37.11,50.99,54.53
10,10,48.73,38.1,57.65,60.34
11,11,54.82,38.53,62.89,66.43
12,12,59.07,39.52,68.98,72.52
13,13,63.03,40.08,73.94,77.48
14,14,67.28,40.79,79.75,83.85
15,15,71.95,42.07,85.27,88.67
16,16,75.64,42.21,89.24,88.81
17,17,79.46,42.35,92.35,88.95
18,18,82.72,43.34,94.62,88.95
19,19,84.84,44.19,,89.24
20,20,86.83,44.62,,89.38
21,21,88.53,45.33,,89.52
22,22,89.94,45.75,,89.8
23,23,90.79,46.32,,89.8
24,24,91.08,47.31,,89.94
25,25,91.64,48.44,,90.08
26,26,92.63,49.01,,90.08
27,27,92.92,49.86,,90.08
28,28,93.63,50.71,,90.37
29,29,93.91,51.42,,90.79
30,30,93.91,52.12,,91.08
31,31,94.05,52.41,,91.08
32,32,94.33,53.54,,91.22
33,33,94.33,54.82,,91.22
34,34,94.33,55.67,,91.36
35,35,94.33,56.23,,91.36
36,36,94.33,57.08,,91.36
37,37,94.48,58.22,,91.5
38,38,94.76,58.92,,91.5
39,39,94.76,58.92,,91.78
40,40,,59.63,,92.07
41,41,,60.48,,92.07
42,42,,61.05,,92.21
43,43,,61.61,,92.35
44,44,,62.32,,92.49
45,45,,62.61,,92.49
46,46,,63.31,,92.78
47,47,,64.45,,92.78
48,48,,65.58,,92.92
49,49,,66.43,,92.92
50,50,,67.28,,93.06
51,51,,67.42,,93.2
52,52,,68.13,,93.34
53,53,,68.7,,93.63
54,54,,69.26,,93.63
55,55,,69.83,,93.77
56,56,,70.11,,93.91
57,57,,70.54,,93.91
58,58,,70.96,,93.91
59,59,,71.67,,94.05
60,60,,72.24,,94.05
61,61,,72.66,,94.19
62,62,,73.23,,94.33
63,63,,74.5,,94.76
64,64,,75.21,,94.76
65,65,,76.06,,
66,66,,77.34,,
67,67,,78.05,,
68,68,,79.04,,
69,69,,79.89,,
70,70,,80.59,,
71,71,,80.88,,
72,72,,82.01,,
73,73,,82.15,,
74,74,,82.72,,
75,75,,83.14,,
76,76,,84.14,,
77,77,,84.99,,
78,78,,85.13,,
79,79,,85.84,,
80,80,,86.83,,
81,81,,87.25,,
82,82,,87.39,,
83,83,,88.24,,
84,84,,89.09,,
85,85,,90.65,,
86,86,,91.08,,
87,87,,91.78,,
88,88,,92.21,,
89,89,,92.92,,
90,90,,93.34,,
91,91,,93.77,,
92,92,,94.62,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
