2019-01-22 16:54:28,554 - INFO - fastread - 83, 1028
2019-01-22 16:54:29,826 - INFO - fastread - 83, 1038
2019-01-22 16:54:31,201 - INFO - fastread - 83, 1048
2019-01-22 16:54:32,724 - INFO - fastread - 83, 1058
2019-01-22 16:54:33,845 - INFO - fastread - 84, 1068
2019-01-22 16:54:35,044 - INFO - fastread - 84, 1078
2019-01-22 16:54:36,358 - INFO - fastread - 84, 1088
2019-01-22 16:54:37,471 - INFO - fastread - 84, 1098
2019-01-22 16:54:38,732 - INFO - fastread - 84, 1108
2019-01-22 16:54:39,874 - INFO - fastread - 84, 1118
2019-01-22 16:54:41,154 - INFO - fastread - 84, 1128
2019-01-22 16:54:42,478 - INFO - fastread - 84, 1138
2019-01-22 16:54:43,713 - INFO - fastread - 84, 1148
2019-01-22 16:54:45,105 - INFO - fastread - 84, 1158
2019-01-22 16:54:46,306 - INFO - fastread - 84, 1168
2019-01-22 16:54:47,539 - INFO - fastread - 84, 1178
2019-01-22 16:54:48,850 - INFO - fastread - 84, 1188
2019-01-22 16:54:50,003 - INFO - fastread - 84, 1198
2019-01-22 16:54:51,272 - INFO - fastread - 84, 1208
2019-01-22 16:54:52,515 - INFO - fastread - 84, 1218
2019-01-22 16:54:53,728 - INFO - fastread - 85, 1228
2019-01-22 16:54:54,940 - INFO - fastread - 86, 1238
2019-01-22 16:54:56,183 - INFO - fastread - 86, 1248
2019-01-22 16:54:57,476 - INFO - fastread - 86, 1258
2019-01-22 16:54:58,688 - INFO - fastread - 86, 1268
2019-01-22 16:54:59,939 - INFO - fastread - 86, 1278
2019-01-22 16:55:01,180 - INFO - fastread - 86, 1288
2019-01-22 16:55:02,414 - INFO - fastread - 86, 1298
2019-01-22 16:55:03,697 - INFO - fastread - 86, 1308
2019-01-22 16:55:04,898 - INFO - fastread - 87, 1318
2019-01-22 16:55:06,230 - INFO - fastread - 87, 1328
2019-01-22 16:55:07,522 - INFO - fastread - 87, 1338
2019-01-22 16:55:08,884 - INFO - fastread - 88, 1348
2019-01-22 16:55:10,313 - INFO - fastread - 88, 1358
2019-01-22 16:55:11,635 - INFO - fastread - 88, 1368
2019-01-22 16:55:12,984 - INFO - fastread - 88, 1378
2019-01-22 16:55:14,427 - INFO - fastread - 88, 1388
2019-01-22 16:55:15,727 - INFO - fastread - 88, 1398
2019-01-22 16:55:17,137 - INFO - fastread - 88, 1408
2019-01-22 16:55:18,480 - INFO - fastread - 88, 1418
2019-01-22 16:55:19,852 - INFO - fastread - 88, 1428
2019-01-22 16:55:21,332 - INFO - fastread - 88, 1438
2019-01-22 16:55:22,664 - INFO - fastread - 88, 1448
2019-01-22 16:55:24,053 - INFO - fastread - 88, 1458
2019-01-22 16:55:25,445 - INFO - fastread - 88, 1468
2019-01-22 16:55:26,775 - INFO - fastread - 89, 1478
2019-01-22 16:55:28,177 - INFO - fastread - 89, 1488
2019-01-22 16:55:29,596 - INFO - fastread - 89, 1498
2019-01-22 16:55:31,021 - INFO - fastread - 89, 1508
2019-01-22 16:55:32,386 - INFO - fastread - 89, 1518
2019-01-22 16:55:33,751 - INFO - fastread - 89, 1528
2019-01-22 16:55:35,045 - INFO - fastread - 93, 1538
2019-01-22 16:55:36,363 - INFO - fastread - 93, 1548
2019-01-22 16:55:37,798 - INFO - fastread - 93, 1558
2019-01-22 16:55:39,033 - INFO - fastread - 94, 1568
2019-01-22 16:55:40,226 - INFO - fastread - 94, 1578
2019-01-22 16:55:41,453 - INFO - fastread - 94, 1588
2019-01-22 16:55:42,634 - INFO - fastread - 94, 1598
2019-01-22 16:55:44,016 - INFO - fastread - 95, 1608
2019-01-22 16:55:45,223 - INFO - fastread - 95, 1618
2019-01-22 16:55:46,451 - INFO - fastread - 95, 1628
2019-01-22 16:55:48,066 - INFO - fastread - 95, 1638
2019-01-22 16:55:49,371 - INFO - fastread - 95, 1648
2019-01-22 16:55:50,675 - INFO - fastread - 95, 1658
2019-01-22 16:55:52,052 - INFO - fastread - 95, 1668
2019-01-22 16:55:53,263 - INFO - fastread - 95, 1678
2019-01-22 16:55:54,404 - INFO - fastread - 95, 1688
2019-01-22 16:55:55,759 - INFO - fastread - 96, 1698
2019-01-22 16:55:56,942 - INFO - fastread - 96, 1708
2019-01-22 16:55:58,130 - INFO - fastread - 96, 1718
2019-01-22 16:55:59,453 - INFO - fastread - 96, 1728
2019-01-22 16:56:00,679 - INFO - fastread - 96, 1738
2019-01-22 16:56:01,925 - INFO - fastread - 96, 1748
2019-01-22 16:56:03,511 - INFO - fastread - 96, 1758
2019-01-22 16:56:04,746 - INFO - fastread - 96, 1768
2019-01-22 16:56:06,010 - INFO - fastread - 96, 1778
2019-01-22 16:56:07,277 - INFO - fastread - 96, 1788
2019-01-22 16:56:08,495 - INFO - fastread - 96, 1798
2019-01-22 16:56:09,738 - INFO - fastread - 96, 1808
2019-01-22 16:56:10,961 - INFO - fastread - 96, 1818
2019-01-22 16:56:12,202 - INFO - fastread - 96, 1828
2019-01-22 16:56:13,427 - INFO - fastread - 96, 1838
2019-01-22 16:56:14,674 - INFO - fastread - 96, 1848
2019-01-22 16:56:15,924 - INFO - fastread - 96, 1858
2019-01-22 16:56:17,187 - INFO - fastread - 96, 1868
2019-01-22 16:56:18,438 - INFO - fastread - 96, 1878
2019-01-22 16:56:19,679 - INFO - fastread - 96, 1888
2019-01-22 16:56:20,924 - INFO - fastread - 96, 1898
2019-01-22 16:56:22,157 - INFO - fastread - 96, 1908
2019-01-22 16:56:23,411 - INFO - fastread - 96, 1918
2019-01-22 16:56:24,658 - INFO - fastread - 96, 1928
2019-01-22 16:56:25,916 - INFO - fastread - 96, 1938
2019-01-22 16:56:27,169 - INFO - fastread - 96, 1948
2019-01-22 16:56:28,444 - INFO - fastread - 96, 1958
2019-01-22 16:56:29,699 - INFO - fastread - 96, 1968
2019-01-22 16:56:30,974 - INFO - fastread - 96, 1978
2019-01-22 16:56:32,279 - INFO - fastread - 96, 1988
2019-01-22 16:56:33,564 - INFO - fastread - 96, 1998
2019-01-22 16:56:34,832 - INFO - fastread - 96, 2008
2019-01-22 16:56:36,161 - INFO - fastread - 96, 2018
2019-01-22 16:56:37,430 - INFO - fastread - 96, 2028
2019-01-22 16:56:38,732 - INFO - fastread - 96, 2038
2019-01-22 16:56:40,076 - INFO - fastread - 96, 2048
2019-01-22 16:56:41,383 - INFO - fastread - 96, 2058
2019-01-22 16:56:42,714 - INFO - fastread - 96, 2068
2019-01-22 16:56:44,053 - INFO - fastread - 96, 2078
2019-01-22 16:56:45,363 - INFO - fastread - 96, 2088
2019-01-22 16:56:46,705 - INFO - fastread - 96, 2098
2019-01-22 16:56:48,096 - INFO - fastread - 96, 2108
2019-01-22 16:56:49,416 - INFO - fastread - 96, 2118
2019-01-22 16:56:50,766 - INFO - fastread - 96, 2128
2019-01-22 16:56:52,160 - INFO - fastread - 96, 2138
2019-01-22 16:56:53,528 - INFO - fastread - 96, 2148
2019-01-22 16:56:54,885 - INFO - fastread - 96, 2158
2019-01-22 16:56:56,282 - INFO - fastread - 96, 2168
2019-01-22 16:56:57,652 - INFO - fastread - 96, 2178
2019-01-22 16:56:59,043 - INFO - fastread - 96, 2188
2019-01-22 16:57:00,462 - INFO - fastread - 96, 2198
2019-01-22 16:57:01,847 - INFO - fastread - 96, 2208
2019-01-22 16:57:03,276 - INFO - fastread - 96, 2218
2019-01-22 16:57:04,705 - INFO - fastread - 96, 2228
2019-01-22 16:57:06,126 - INFO - fastread - 96, 2238
2019-01-22 16:57:07,565 - INFO - fastread - 96, 2248
2019-01-22 16:57:09,014 - INFO - fastread - 96, 2258
2019-01-22 16:57:10,443 - INFO - fastread - 96, 2268
2019-01-22 16:57:11,884 - INFO - fastread - 96, 2278
2019-01-22 16:57:13,353 - INFO - fastread - 96, 2288
2019-01-22 16:57:14,815 - INFO - fastread - 96, 2298
2019-01-22 16:57:16,304 - INFO - fastread - 96, 2308
2019-01-22 16:57:17,792 - INFO - fastread - 96, 2318
2019-01-22 16:57:19,264 - INFO - fastread - 96, 2328
2019-01-22 16:57:20,754 - INFO - fastread - 96, 2338
2019-01-22 16:57:22,335 - INFO - fastread - 96, 2348
2019-01-22 16:57:23,907 - INFO - fastread - 96, 2358
2019-01-22 16:57:25,473 - INFO - fastread - 96, 2368
2019-01-22 16:57:27,030 - INFO - fastread - 96, 2378
2019-01-22 16:57:28,598 - INFO - fastread - 96, 2388
2019-01-22 16:57:30,176 - INFO - fastread - 96, 2398
2019-01-22 16:57:31,756 - INFO - fastread - 96, 2408
2019-01-22 16:57:33,398 - INFO - fastread - 96, 2418
2019-01-22 16:57:34,989 - INFO - fastread - 96, 2428
2019-01-22 16:57:36,592 - INFO - fastread - 96, 2438
2019-01-22 16:57:38,251 - INFO - fastread - 96, 2448
2019-01-22 16:57:39,872 - INFO - fastread - 96, 2458
2019-01-22 16:57:41,498 - INFO - fastread - 96, 2468
2019-01-22 16:57:43,252 - INFO - fastread - 96, 2478
2019-01-22 16:57:44,887 - INFO - fastread - 96, 2488
2019-01-22 16:57:46,522 - INFO - fastread - 96, 2498
2019-01-22 16:57:48,272 - INFO - fastread - 96, 2508
2019-01-22 16:57:49,914 - INFO - fastread - 96, 2518
2019-01-22 16:57:51,596 - INFO - fastread - 96, 2528
2019-01-22 16:57:53,284 - INFO - fastread - 96, 2538
2019-01-22 16:57:54,985 - INFO - fastread - 96, 2548
2019-01-22 16:57:56,698 - INFO - fastread - 96, 2558
2019-01-22 16:57:58,518 - INFO - fastread - 96, 2568
2019-01-22 16:58:00,381 - INFO - fastread - 96, 2578
2019-01-22 16:58:02,188 - INFO - fastread - 96, 2588
2019-01-22 16:58:04,048 - INFO - fastread - 96, 2598
2019-01-22 16:58:05,880 - INFO - fastread - 96, 2608
2019-01-22 16:58:07,623 - INFO - fastread - 96, 2618
2019-01-22 16:58:09,436 - INFO - fastread - 96, 2628
2019-01-22 16:58:11,347 - INFO - fastread - 96, 2638
2019-01-22 16:58:13,166 - INFO - fastread - 96, 2648
2019-01-22 16:58:15,041 - INFO - fastread - 96, 2658
2019-01-22 16:58:16,914 - INFO - fastread - 96, 2668
2019-01-22 16:58:18,766 - INFO - fastread - 96, 2678
2019-01-22 16:58:20,604 - INFO - fastread - 96, 2688
2019-01-22 16:58:22,397 - INFO - fastread - 96, 2698
2019-01-22 16:58:24,267 - INFO - fastread - 96, 2708
2019-01-22 16:58:25,998 - INFO - fastread - 96, 2718
2019-01-22 16:58:27,814 - INFO - fastread - 96, 2728
2019-01-22 16:58:29,682 - INFO - fastread - 96, 2738
2019-01-22 16:58:31,437 - INFO - fastread - 96, 2748
2019-01-22 16:58:33,267 - INFO - fastread - 97, 2758
2019-01-22 16:58:35,094 - INFO - fastread - 98, 2768
