precision,recall,f1
0.87,0.54,0.67
0.90,0.80,0.85
0.92,0.83,0.87
0.92,0.83,0.88
0.92,0.83,0.87
0.93,0.86,0.89
0.93,0.86,0.89
0.93,0.87,0.90
