precision,recall,f1
0.85,0.87,0.86
0.96,0.89,0.93
0.97,0.92,0.94
0.97,0.92,0.94
0.97,0.92,0.94
0.97,0.92,0.94
0.97,0.92,0.95
0.97,0.92,0.95
0.97,0.92,0.95
0.97,0.92,0.95
